"<div style='background-color: #efefef;margin-bottom: 10px;height: 40px;'> <img style='float:left;width: 150px;' src='http://www.aschroder.com/smtppro-logo.png' /> <span style='float:left;font-size: 20px; margin:10px;'>SMTP Pro Email Extension</span> </div> Configure your SMTP connection below. If you have any questions or would like any help please visit <a href='http://magesmtppro.com' target='_blank'>magesmtppro.com</a>.","<a href='http://magento-forum.ru/topic/5500/' target='_blank'>инструкция для Mailgun</a>"
"Authentication","Способ аутентификации"
"Custom SMTP","другой"
"Custom SMTP servers can be configured in this section. For more information about these configuration options and troubleshooting advice please see <a href='http://magesmtppro.com' target='_blank'>magesmtppro.com</a>",""
"Disabled","расположенный на Вашем сервере"
"Email Connection","Почтовый сервер"
"General Settings","Основное"
"Host","Сервер"
"login","логин и пароль"
"No SSL","нет"
"Password","Пароль"
"Port","Порт"
"SSL","да"
"SSL Security","Использовать SSL?"
"SSL TLS","да, в виде TLS"
"Username","Логин"
