"%1$d of %2$d invitations were discarded.","%1$d из %2$d приглашений отменены."
"%1$d of %2$d invitations were sent.","%1$d из %2$d приглашений отосланы."
"%d invitation(s) cannot be sent, because customer already exists for their emails. These invitations were discarded.","%d приглашений не были отосланы, потому что их адресаты уже зарегистрированы в магазине."
"%d invitation(s) were not sent, because customer accounts already exist for specified email addresses.","%d приглашений не были отосланы, потому что их адресаты уже зарегистрированы в магазине."
"%d invitation(s) were sent.","Приглашений отослано: %d."
"%d of selected invitation(s) were skipped.","%d приглашений не были отосланы."
"* Required Fields","* обязательно для заполнения"
"Acceptance Rate","Процент принятия"
"Accepted","принято"
"Accepted and Purchased","принято и приглашённый что-то уже купил"
"Add Invitations","Добавить приглашения"
"Addressee","Адресат"
"Admin","Администратор"
"Allow Customers to Add Custom Message to Invitation Email","Разрешить покупателям добавлять что-то от себя к стандартному тексту приглашения?"
"Are you sure you want to discard this invitation?","Отменить приглашения?"
"Are you sure you want to do this?","Отменить приглашения?"
"Back","Назад"
"Back to Invitations","Назад к перечню приглашений"
"CSV","CSV"
"Confirm Password","Пароль повторно"
"Conversion Rate","Conversion Rate"
"Customer Account Registration by Invitation Form","Личный кабинет. Форма регистрации по приглашению"
"Customer Group","Категория клиента"
"Customer ID","№ клиента"
"Customer Invitation","Приглашение"
"Customer Invitation Email Sender","Чей обратный адрес должен стоять у писем-приглашений?"
"Customer Invitation Email Template","Шаблон приглашения"
"Customer Invitations","Приглашения"
"Customer My Account Invitations Form","Личный кабинет покупателя. Форма приглашения"
"Customer My Account Invitations List","Личный кабинет покупателя. Список приглашений"
"Customer with email ""%s"" already exists.","Адресат «%s» уже зарегистрирован в магазине."
"Customers","Покупатели"
"Date Sent","Дата приглашения"
"Default Customer Group from System Configuration","к основной категории покупателей магазина"
"Default from System Configuration","Основная кагегория покупателей магазина"
"Discard Invitation","Отменить приглашение"
"Discard Rate","Процент отмены"
"Discard selected","отменить"
"Discarded","отменено"
"Email","Адрес электронной почты"
"Email Address","Адрес электронной почты"
"Email is not specified.","Укажите адресата."
"Email Settings","Параметры письма"
"Enable Invitations Functionality","Включить?"
"Enable Invitations on Frontend","Включить для покупателей?"
"Enter each Email on New Line","Адреса получателей (по одному на строку)"
"Excel","Excel"
"Failed to send %1$d of %2$d invitation(s).","Не были отосланы %1$d из %2$d приглашений."
"Failed to send %d invitation(s).","Не были отосланы %d приглашений(s)."
"Failed to send email to %s. Please try again later.","Не было отослано приглашение для «%s»."
"First Name","Имя"
"General","Основное"
"General Report","Сводка"
"Group","Категория"
"ID","№"
"Impossible to generate encrypted code.","При цифровой подписи приглашения произошёл сбой."
"Invalid invitation code.","Код приглашения неверен."
"Invalid invitation email.","Указанный адрес электронной почты недопустим (содержит синтаксические ошибки)."
"Invalid or empty invitation email.","Указанный адрес электронной почты недопустим (содержит синтаксические ошибки) или не указан вовсе."
"Invalid value used for ""%s"" parameter. Previous value saved.","Значением параметра «%s» должно быть натуральное число."
"Invitation Information","Параметры приглашения"
"Invitation Message","Текст приглашения"
"Invitation Report by Customers","Статистика приглашений в разрезе клиентов"
"Invitation Report by Order Conversion Rate","Статистика покупателей среди приглашённых"
"Invitation Section","Российская сборка → Приглашения"
"Invitation Url","пригласительная ссылка"
"Invitation for %s has been sent successfully.","Приглашение адресату «%s» отослано."
"Invitation has no ID.","Системе неизвестен номер приглашения."
"Invitation not found.","Приглашение не найдено."
"Invitation was successfully saved.","Приглашение сохранено."
"Invitation with status ""%s"" cannot be sent.","Приглашения в состоянии «%s» не подлежат отсылке."
"Invitations","Приглашения"
"Invitations Accepted","Принято"
"Invitations Information","Параметры"
"Invitations Sent","Отослано"
"Invite your friends","Приглашение друзей"
"Invite your friends now","Пригласить друзей"
"Invite your friends by entering their email addresses below","Перечислите адреса электронной почты Ваших друзей"
"Invitee","Приглашённый"
"Invitee Email","Адресат"
"Invitee Group","К какой категории отнести приглашённых?"
"Invitee Customer Group","Категория"
"Invitee Information","Приглашённый"
"Inviter Information","Пригласитель"
"Invitee Name","Имя приглашённого"
"Last Name","Фамилия"
"Link","Link"
"Manage Invitations","Перечень приглашений"
"Max Invitations Allowed to be Sent at One Time","Сколько адресатов должна вмещать форма приглашения?"
"Message","Текст приглашения"
"Message cannot be updated.","Менять текст этого приглашения смысла нет, потому что оно либо уже было отослано, либо уже было отменено."
"My Invitations","Приглашения"
"N/A","нет данных"
"Name","Имя"
"New Invitations","Новое приглашение"
"No customer group id specified.","Укажите категорию, к которой система должна причислить приглашаемого после его регистрации в магазине."
"No invitations have been resent","Ни одно приглашение не было отослано (одни из причин  — эти приглашения уже отсылались ранее)."
"Not Sent","не отослано"
"Order Conversion Rate","Доля что-либо купивших среди приглашённых"
"Password","Пароль"
"Personal Information","Личная информация"
"Please enter valid email addresses, separated by new line.","Укажите адреса электронной почты, по одному на каждой строке."
"Please select invitations.","Укажите приглашения"
"Referred Customer Group","К какой покупательской категории причислять приглашённого покупателя?"
"Registered","Дата регистрации"
"Reports","Отчёты"
"Same as Inviter","к категории пригласившего"
"Save Invitation","Сохранить приглашение"
"Send At","Дата приглашения"
"Send From","Магазин"
"Send Invitation","Отослать приглашение"
"Send Invitations","Отослать приглашения"
"Send selected","отослать"
"Sent","отослано"
"Sign Up At","Дата регистрации"
"Signed Up At","Дата регистрации"
"Specify at least one email.","Укажите адресатов."
"Status","Состояние"
"Status History","История операций"
"Store View","Витрина"
"Submit","Подтвердить"
"There are no sent invitations yet","приглашений пока нет"
"This invitation is not valid.","К сожалению, Ваше приглашение не принимается системой."
"Unable to determine proper website.","Системе непонятно, к какому сайту привязано приглашение."
"Valid on Website","Сайт"
"View Invitation for %s (ID: %s)","Приглашение для «%s» № %s"
"Website","Сайт"
"Wrong store specified.","Приглашение не привязано к магазину."
"You cannot send more invitations","Вы исчерпали лимит приглашений"
"Your invitation is not valid. Please contact us at %s.","К сожалению, Ваше приглашение не принимается системой. Сообщите об этом администрации магазина по адресу: %s."
"Your invitation is not valid. Please create an account.","К сожалению, Ваше приглашение не принимается системой. Однако Вы можете зарегистрироваться в нашем магазине самостоятельно, используя форму ниже."
"Page","страница"
"Total %d records found","всего приглашений: %d"
"View","по"
"of %s pages","из %s"
"per page","на страницу"
"delete","удаление"
"login","авторизация"
"save","сохранение"
"view","просмотр"
"move","перемещение"
