"Action","Операция"
"Additional information","дополнительные сведения"
"An amount on which to change the balance","An amount on which to change the balance"
"Balance","Остаток"
"Balance Change","Приход"
"Balance History","Движения по счёту"
"Balance history cannot be saved without existing balance.","Balance history cannot be saved without existing balance."
"By admin: %1$s. (%2$s)","кассир: %1$s. (%2$s)"
"By admin: %s.","кассир: %s."
"Comment","Примечание"
"Created","создание"
"Customer ID must be specified.","Customer ID must be specified."
"Customer My Account Store Credit","Customer My Account Store Credit"
"Customer is not set or does not exist.","Customer is not set or does not exist."
"Customer notified?","покупатель оповещён?"
"Date","Время операции"
"Delete Orphan Balances","Delete Orphan Balances"
"Enable Store Credit Functionality","Enable Store Credit Functionality"
"Failed to initialize customer","Failed to initialize customer"
"In order to send email notification, the Store ID must be set.","In order to send email notification, the Store ID must be set."
"No","No"
"Not enough Store Credit Amount to complete this Order.","Not enough Store Credit Amount to complete this Order."
"Notified","Notified"
"Notify customer by email","Оповестить покупателя?"
"Order #%s","Order #%s"
"Refund Money to Store Credit","Refund Money to Store Credit"
"Refund Store Credit to Store Credit","Refund Store Credit to Store Credit"
"Refund to Store Credit","Refund to Store Credit"
"Refunded","возврат"
"Refunded to Store Credit","Refunded to Store Credit"
"Remove","Remove"
"Send email from the following Store View","С какой витрины отправить уведомление?"
"Send email notification from the following Store View","С какой витрины отправить уведомление?"
"Set Store ID as well.","Set Store ID as well."
"Show Store Credit History to Customers","Show Store Credit History to Customers"
"Store Credit","Store Credit"
"Store Credit Balance","Баланс счёта"
"Store Credit Balance and History Wrapper","Store Credit Balance and History Wrapper"
"Store Credit Options","Store Credit Options"
"Store Credit Update","Изменение баланса счёта"
"Store Credit Update Email Sender","Store Credit Update Email Sender"
"Store Credit Update Email Template","Store Credit Update Email Template"
"Store Credit payment is not being used in your shopping cart.","Store Credit payment is not being used in your shopping cart."
"Store Credit payment was successfully removed from your shopping cart.","Store Credit payment was successfully removed from your shopping cart."
"There is no creditmemo set to balance model.","There is no creditmemo set to balance model."
"There is no order set to balance model.","There is no order set to balance model."
"Unknown balance history action code","Unknown balance history action code"
"Update Balance","Изменить баланс счёта"
"Updated","обновление"
"Use Store Credit","Заплатить с личного счёта"
"Use Store Credit (%s available)","Заплатить с личного счёта (доступно %s)"
"Used","расход"
"Website","Сайт"
"Website ID must be set.","Website ID must be set."
"Your current balance is:","У Вас на счету:"
"available","на счету"
"Page","страница"
"Total %d records found","всего движений: %d"
"View","по"
"of %s pages","из %s"
"per page","на страницу"
"delete","удаление"
"login","авторизация"
"save","сохранение"
"view","просмотр"
"move","перемещение"

