"Active From","Вступление в силу"
"Active To","Утрата силы"
"Additional Background Color","Фоновый цвет для выделения некоторых важных элементов страницы"
"Allow Gift Message","Допустимо ли поздравительное сообщение?"
"Allow Gift Wrapping","Применима ли подарочкая упаковка?"
"Apply MAP","Имеется ли для этого товара рекомендованная производителем розничная цена?"
"Allow Open Amount","Предоставлять ли покупателям возможность самостоятельно задавать сумму подарочного сертификата?"
"Amounts","Суммы подарочных сертификатов"
"Apply To Products","Применить настройки этой вкладки не только к разделу, но и к товарам раздела?"
"Available Product Listing Sort By","Критерии упорядочивания"
"Base Image","Основная картинка"
"CMS Block","Добавить самодельный блок на страницу?"
"Color","Цвет"
"Cost","Закупочная цена"
"Country of Manufacture","Страна производства"
"Custom Attribute","Пример дополнительного свойства"
"Custom Design","Тема"
"Custom Layout Update","Дополнительные макетные правила"
"Date Of Birth","Дата рождения"
"Default Product Listing Sort By","Критерий упорядочивания по умолчанию"
"Description","Описание"
"Display Mode","Способ отображения"
"Display Product Options In","Место отображения свойств"
"Enable Recurring Profile","Применима ли абонентская подписка"
"Enable RMA","Разрешить возврат некачественных или неисправных товаров?"
"Extended Warranty","Дополнительный гарантийный период"
"Featured product","Обратите внимание"
"Group Price","Групповая цена"
"Image Gallery","Иллюстрации"
"Image Label","Подпись к изображению"
"Include in Navigation Menu","Включить в товарное меню?"
"Is Active","Публиковать?"
"Is Anchor","Включить пошаговую фильтрацию?"
"Is Product Available for Purchase with Google Checkout","Допустим ли заказ этого товара через Google Checkout"
"Layered Navigation Price Step","Шаг цены для пошаговой фильтрации"
"Manufacturer","Производитель"
"Manufacturer's Suggested Retail Price","Рекомендованная производителем розничная цена"
"Maximum 255 chars","Не более 255 знаков"
"Media Gallery","Файлы"
"Membership start date","Дата начала членства"
"Meta Description","Описание для поисковых роботов"
"Meta Keywords","Ключевые слова для поисковых роботов"
"Meta Title","Заголовок страницы для поисковых роботов"
"Minimal Price","Минимальная цена"
"monogram","Надпись"
"Monogramming","Надпись"
"Name","Название"
"Net Weight:","Вес нетто"
"NOT LOGGED IN","Анонимный посетитель"
"Open Amount Max Value","Максимальная стоимость подарочного сертификата"
"Open Amount Min Value","Минимальная стоимость подарочного сертификата"
"Page Layout","Тип макета"
"Page Title","Заголовок страницы в браузере"
"Price","Цена"
"Price for Gift Wrapping","Стоимость подарочной упаковки"
"Price View","Формат витринных ценников"
"Recurring Payment Profile","Абонентская подписка"
"Set Product as New from Date","Считать новинкой с"
"Set Product as New to Date","Считать новинкой до"
"Shoe Size","Размер обуви"
"Short Description","Краткое описание"
"Size","Размер"
"SKU","Артикул"
"Sleeve Length","Длина рукава"
"Small Image","Картинка средних размеров (для списка товаров)"
"Small Image Label","Подпись к картинке средних размеров"
"Special Price","Цена со скидкой"
"Special Price From Date","Вступление в силу скидки"
"Special Price To Date","Утрата силы скидкой"
"Status","Продавать?"
"Test Custom Options","Пример опции"
"Thumbnail","Миниатюра"
"Thumbnail Image","Миниатюрное изображение"
"Thumbnail Label","Подпись к миниатюрному изображению"
"Tier Price","Особые цены"
"URL Key","Название в веб-адресе"
"Use Parent Category Settings","Использовать настройки родительского товарного раздела?"
"Video URL","Веб-адрес видеоролика"
"Weight","Вес"
