"%s & applied","%s & применено"
"1","1"
"Access denied","доступ запрещён"
"Action","действие"
"Action Group","раздел"
"Admin Actions Log","Контрольный журнал"
"Admin Actions Log Archive","Архив контрольного журнала"
"Admin Actions Log Archiving","Архивация контрольного журнала"
"Admin Actions Logging","Контрольный журнал"
"Admin Actions Logs","Контрольный журнал"
"Admin Logging","Контрольный журнал"
"Admin My Account","Собственные регистрационные данные администратора («Система» → «Ваши данные»)"
"Admin Permission Roles","Административные должности («Система» → «Администраторы» → «Должности»)"
"Admin Permission Users","Администраторы («Система» → «Администраторы» → «Администраторы»)"
"Admin Sign In","Авторизация в административном интерфейсе"
"Admin User Data","Информация о событии"
"Admin User ID","Номер работника"
"Admin User Name","Системное имя работника"
"Aggregated Information","Краткие данные события"
"All Users","все работники"
"All cache %s. ","Весь кэш %s. "
"Archive","Архивные записи"
"Archive File","файл"
"Attributes Updated","Свойства обновлены"
"Back","назад"
"CMS Blocks","Самодельные блоки («Витрина» → «Самодельные блоки»)"
"CMS Pages","Самодельные страницы («Витрина» → «Самодельные страницы»)"
"CMS Polls","Опросы («Витрина» → «Опросы»)"
"Cache Management Action","Управление кэшэм («Система» → «Кэширование»)"
"Catalog Attribute Sets","Прикладные типы товаров («Каталог» → «Свойства» → «Прикладные типы товаров»)"
"Catalog Attributes","Товарные свойства («Каталог» → «Свойства» → «Настройка свойств»)"
"Catalog Categories","Товарные разделы («Каталог» → «Разделы»)"
"Catalog Product Tax Classes","Налоговые группы товаров"
"Catalog Products","Товары («Каталог» → «Товары»)"
"Catalog Ratings","Оценочные критерии товаров («Каталог» → «Оценочные критерии и отзывы» → «Оценочные критерии»)"
"Catalog Reviews","Отзывы о товарах («Каталог» → «Оценочные критерии и отзывы» → «Отзывы»)"
"Catalog Search","Поисковые запросы («Каталог» → «Поисковые запросы»)"
"Catalog Tags","Метки («Каталог» → «Метки»)"
"Currency Rates Saved","Валютные курсы сохранены"
"Custom Variables Action","Пользовательские переменные («Система» → «Пользовательские переменные»)"
"Customer Tax Classes","Налоговые группы покупателей"
"Customers","Покупатели («Покупатели» → «Покупатели»)"
"Date","дата"
"Disable","отключить"
"Enable","включить"
"Enabled actions","Включено"
"Error Message","Сообщение о неполадке"
"Failure","сбой"
"Full Action Name","системное имя действия"
"Full Details","подробности"
"Google Base","Google Base"
"Google Sitemap","Google Sitemap"
"IP-Address","IP-адрес"
"IP-address","IP-адрес"
"Import/Export Profiles","Стандартные программы («Система» → «Импорт/Экспорт» → «Стандартные программы»)"
"Item was deleted","Item was deleted"
"Last Entries","Свежие записи"
"Log Archiving Frequency","Log Archiving Frequency"
"Log Entry #%d","Журнальная запись №%d"
"Log Entry Details","Содержание записи"
"Logging","Контрольный журнал"
"Manage Currency Rates Action","Валютные курсы («Система» → «Валюты»)"
"Manage Design","Оформление витрины («Система» → «Оформление витрины»)"
"Manage Store Views","Витрины («Система» → «Магазины»)"
"Manage Websites","Сайты («Система» → «Магазины»)"
"N/A","неприменимо"
"No change","Изменений нет"
"No changes","Изменений нет"
"Refresh","Обновить"
"Related Changes","Изменения в системе в результате действия"
"Report","Контрольный журнал"
"Reports","Отчёты"
"Result","результат"
"Sales Agreement","Условия продажи («Каталог» → «Условия продажи»)"
"Sales Creditmemos","Возвраты («Продажи» → «Возвраты»)"
"Sales Invoices","Счета («Продажи» → «Счета»)"
"Sales Order Status","Перечень состояний заказов («Система» → «Перечень состояний заказов»)"
"Sales Orders","Заказы («Продажи» → «Заказы»)"
"Sales Shipments","Доставки («Продажи» → «Доставки»)"
"Short Details","данные"
"Source Data","параметр"
"Success","успех"
"System","Система"
"System Backups","Резервные копии («Система» → «Инструменты» → «Резервные копии»)"
"System Configuration","Системные настройки («Система» → «Настройки»)"
"Tax Rates","Налоговые ставки («Продажи» → «Налоги» → «Налоговые ставки»)"
"Tax Rates Export","Экспорт налоговых ставок («Продажи» → «Налоги» → «Импорт и экспорт налоговых ставок»)"
"Tax Rates Import","Импорт налоговых ставок («Продажи» → «Налоги» → «Импорт и экспорт налоговых ставок»)"
"Tax Rules","Налоговые правила («Продажи» → «Налоги» → «Налоговые правила»)"
"Time","время"
"Transactional Emails Action","Письма-оповещения («Система» → «Письма-оповещения»)"
"Urlrewrites","Адреса страниц («Каталог» → «Адреса страниц»"
"User is locked","User is locked"
"Username","работник"
"Value After Change","значение после действия"
"Value Before Change","значение до действия"
"View Details","открыть"
"View Entry","Открыть запись"
"Webservices API Users","Внешние администраторы («Система» → «Доступ извне» → «Администраторы»)"
"Webservices Api Roles","Должности внешних администраторов («Система» → «Доступ извне» → «Должности»)"
"Widget Instances","Виджеты («Витрина» → «Виджеты»)"
"X-Forwarded For","X-Forwarded For"
"Export to:","экспортировать в:"
"Page","страница"
"Total %d records found","всего объектов: %d"
"View","по"
"of %s pages","из %s"
"per page","на страницу"
"delete","удаление"
"login","авторизация"
"save","сохранение"
"view","просмотр"




