"%1$s points = %2$s","%1$s баллов = %2$s"
"%2$s = %1$s points","%2$s = %1$s баллов"
"%.0F currency points","%.0F единиц валюты магазина"
"%s reward points","%s баллов"
"%s reward points (%s)","%s баллов (%s)"
"Add New Rate","Добавить курс..."
"Add Reward Points","Сколько баллов начислить?"
"Affect Balance when Creating Orders","Affect Balance when Creating Orders"
"After Approval by Administrator","After Approval by Administrator"
"All Customer Groups","любая"
"All Websites","любой"
"Amount","Скидка"
"Amount Balance","Эквивалент в валюте"
"Applies only to registered customers, may vary when logged in.","Баллы начисляются только зарегистрированным в магазине покупателям."
"Balance","Баллов"
"Balance History","История изменения баланса"
"Balance Update Email","Balance Update Email"
"Balance is capped at %s.","Разрешено накапливать не более %s."
"Balance limitations:","Ограничения накопительной программы:"
"Cannot save Rate.","Cannot save Rate."
"Cap Reward Points Balance at","Максимальное количество накапливаемых баллов"
"Checkout now and earn %s for this order.","За эту покупку Вы получите %s"
"Comment","Примечание"
"Created At","Дата зачисления"
"Currency Amount","В пересчёте на валюту магазина"
"Currency to Points","Валюта магазина » Баллы"
"Current exchange rates:","Правила обмена баллов:"
"Customer Group","Категория покупателей"
"Customer earned %s for the order.","Покупатель получил за этот заказ %s."
"Customer earned promotion extra %s.","Покупатель получил %s в результате применения промо-правила."
"Customers","Покупатели"
"Date","Дата"
"Delete Orphan Points","Удалить баллы, относящиеся к удалённым сайтам"
"Direction","Направление обмена"
"Dynamic","рассчитывать срок годности при просмотре и использовании баллов"
"Each","Each"
"Each %s can be redeemed for %s.","%s дают скидку в размере %s при покупке."
"Each %s spent will earn %s.","%s, потраченные на покупки, дают Вам %s."
"Each earned reward points record expires in %s days.","Полученные баллы сгорают через %s дней."
"Earn %s for purchases by your invitees.","Вы получите по %s за каждую покупку приглашённых Вами друзей."
"Earned points for order #%s.","Получены за заказ #%s."
"Earned promotion extra points from order #%s.","Получены по промо-акции за заказ #%s."
"Edit Reward Exchange Rate","Настройка обменного курса"
"Email Notification Settings","Оповещения об изменении баланса"
"Enter Negative Number to Subtract Balance","Для вычета баллов укажите отрицательное число"
"Expires At","Дата истечения срока годности"
"Expires on %s","Потратить до %s"
"First","First"
"For submitting a product review.","Получены за отзыв к товару."
"For submitting tag (%s).","Получены за метку «%s» к товару."
"Given action ID has to be an integer value.","Номер действия должен быть целочисленным."
"ID","№"
"Invitation to %s converted into a customer.","За приглашение «%s» в магазин."
"Invitation to %s converted into an order.","За заказ приглашённого друга «%s»."
"Learn more...","правила накопительной программы"
"Log in now and earn %s for this order.","У Вас уже есть пароль к нашему магазину? Укажите его — и Вам будет начислено %s за этот заказ!"
"Manage Reward Exchange Rates","Курс обмена баллов"
"Maximum balance is reached.","Вы накопили максимально допустимое количество баллов."
"Minimum Balance in order to redeem: %s.","Минимальное количество баллов, которое можно потратить: %s."
"Minimum Reward Points Balance to be able to Redeem","Минимальное количество принимаемых при оплате заказа баллов"
"Minimum balance for redeeming points is not reached.","Ваши баллы пока нельзя потратить, потому что их ещё мало."
"New Rate","Новый курс"
"New Reward Exchange Rate","Новый курс"
"Not enough Reward Points to complete this Order.","Для оформления этого заказа не хватае баллов."
"Orphan points removed successfully.","Успешно удалены баллы, относящиеся к удалённым сайтам."
"Please enter all Rate information.","Заполните все требуемые поля для курса обмена."
"Please enter positive integer number in left Rate field","Требуется положительное число"
"Please enter positive integer number in right Rate field","Требуется положительное число"
"Please enter positive number in left Rate field","Требуется положительное число"
"Please enter positive number in right Rate field","Требуется положительное число"
"Points to Currency","Баллы » Валюта магазина"
"Points Change","Изменение"
"Rate","Ставка"
"Rate deleted successfully.","Курс удалён."
"Rate saved successfully.","Курс сохранён."
"Rate with same Website, Custormer Group and Direction or covering Rate already exists.","Курс для данной комбинайии сайта, категории покупателей и направления обмена уже существует."
"Reason","Основание"
"Receive balance notifications?","Получать оповещения об изменении баланса?"
"Redeemed for order #%s.","Использованы при оплате заказа #%s."
"Refer to reward points history to see if a specific record expires and when.","Срок годности каждой порции полученных Вами баллов Вы можете увидеть в таблице ниже."
"Refund Reward Points","Вернуть покупателю баллы"
"Refunded from order #%s.","Возврат оплаты за заказ #%s."
"Register on our site now and earn %s.","Зарегистрируйтесь в нашем магазине и получите %s."
"Registered as customer.","Регистрация в магазине"
"Registration","Registration"
"Remove","Remove"
"Review Submission","Отзыв к товару"
"Reward Exchange Rate Information","Параметры"
"Reward Exchange Rates","Курс обмена баллов"
"Reward Points","Накопительная программа"
"Reward Points Balance","Баланс накопительной программы"
"Reward Points Balance Update","Оповещение об изменении баланса накопительной программы"
"Reward Points Expire in (days)","Reward Points Expire in (days)"
"Reward Points Expiry Calculation","Reward Points Expiry Calculation"
"Reward Points Expiry Warning","Оповещение об истечении срока годности баллов накопительной программы"
"Reward Points History","История изменения баланса"
"Reward Points Notifications","Оповещение об изменении баланса по электронной почте"
"Reward Points Rates","Курс обмена баллов на валюту магазина"
"Reward Points refunded to customer","Reward Points refunded to customer"
"Reward Points were successfully removed from your order.","Reward Points were successfully removed from your order."
"Reward Points will not be used in this order.","Reward Points will not be used in this order."
"Reward points balance Information","Сводка"
"Rewarded Reviews Submission Quantity Limit","Rewarded Reviews Submission Quantity Limit"
"Rewarded Tag Submission Quantity Limit","Rewarded Tag Submission Quantity Limit"
