"%s Item","новостей: %s"
"%s Item(s)","новостей: %s"
"Add Subcategory","Добавить рубрику"
"All Tags","All Tags"
"Approved","одобрен"
"Articles and Static block","новости и самодельный блок"
"Articles Only","только новости"
"Blog","Новости"
"Blog Categories","Рубрики"
"Captcha is wrong","Captcha is wrong"
"Category Posts","Новости"
"Comment","Комментарий"
"Comment by","Автор:"
"Comment Manager","Комментарии"
"Commented by","Автор:"
"Comments","Комментарии"
"Comments count:","комментариев:"
"Custom Design","Оформление"
"Custom Layout Update Xml","Дополнительные макетные правила"
"Design","Оформление"
"disable","скрыта"
"Disabled","скрыт"
"Display Setting","Опции"
"EM Blog","Новости"
"EM Marketplace Settings","Оформительская тема Marketplace"
"enable","опубликована"
"From Blog","Новости"
"General Information","Главное"
"Items %s to %s of %s total","Новости с %s по %s из %s"
"Leave Your Comment","Ваш комментарий"
"Manage Categories","Рубрики"
"Manage Comments","Комментарии"
"Manage Posts","Новости"
"Name","Заголовок"
"New Category","Новая рубрика"
"New Root Category","Новая рубрика"
"New Subcategory","Новая рубрика"
"Newsfeed","Newsfeed"
"next page","вперёд"
"No recent comment","No recent comment"
"Pending","новый"
"Position","пор. номер"
"Post by","Автор"
"Post Manager","Новости"
"Post On","новость"
"Post reply","ответить"
"Post reply this Comment","Post reply this Comment"
"Posted by","Автор:"
"Posted on","Posted on"
"Prev Page","назад"
"prev page","назад"
"Read More","читать"
"Recent Comments","Комментарии"
"Recent Posts","Новости"
"Related Posts","Похожее"
"Reply","ответить"
"Required Field","обязательные поля"
"Reset","сбросить"
"Set Ascending Direction","нажмите, чтобы упорядочить по возрастанию"
"Set Descending Direction","нажмите, чтобы упорядочить по убыванию"
"Share this post","поделиться"
"Show image at frontend","Показывать ли на витрине картинку рубрики?"
"Sort By","порядок:"
"Status","Состояние"
"Submit","Отправить"
"Tag Cloud","Метки"
"Tag Infomation","Параметры"
"Tag Information","Параметры"
"Tag information","Параметры"
"Tag Manager","Метки"
"Tags","Tags"
"Time","Время публикации"
"Title","Заголовок"
"There are no posts matching the selection.","There are no posts matching the selection."
"Url Key","Название в веб-адресе"
"Username","Ваше имя"
"View All Tags","все метки"
"View as","Смотреть как"
"Your Email","Адрес электронной почты"
"Page","страница"
"Total %d records found","всего новостей: %d"
"View","по"
"of %s pages","из %s"
"per page","на страницу"
