"<h3>How to display brand slider:</h3><strong>Brand slider can be displayed on any CMS page and in any static block.</strong><br/>To display a brand slider in a selected place just use the slider block code (shortcode). The code is described in the <strong>User Guide</strong> (chapter 12).<br/>For example, enter the code in the content field of your static block, Magento will automatically replace the code with a brand slider during page rendering.<br/><br/>In this tab you can configure global settings of brand sliders. Use available parameters (see the user guide for details) in block code<br/>to override global settings for selected sliders.<br/><br/>","Вы можете добавить карусель брендов на любую самодельную страницу и в любой самодельный блок посредством специального макроса:<pre>{{block{\n}{\t}type='brands/brands'{\n}{\t}template='infortis/brands/brand_slider.phtml'{\n}{\t}breakpoints='[0, 1], [320, 2], [480, 2], [768, 3], [960, 4], [1280, 5]'{\n}{\t}block_name='Название блока'{\n}}}</pre><a href='http://magento-forum.ru/topic/4810/' style='color:rgb(234, 118, 1); margin-left:0;'>документация к модулю</a>"
"All Brands","Показывать ли все бренды?"
"Append Category URL Suffix","Добавлять ли к адресам страниц брендов то же окончание, что и для страниц товарных разделов?"
"Automatic Scrolling Speed","Длительность (в милисекундах) анимации шага автоматический прокрутки карусели брендов"
"Base Path of Brand Pages","Общее начало адресов страниц брендов"
"Brand Slider","Карусель брендов"
"Brands","Бренды"
"Brands Assigned To Products","Отображать ли только те бренды, для которых в текущем товарном разделе присутствуют товары?"
"Brands Assigned To Products In Stock","Отображать ли только те бренды, для которых в текущем товарном разделе присутствуют имеющиеся в наличии на складе магазина товары?"
"Brand Attribute Code","Системное имя товарного свойства"
"Brand Image File Extension","Расширение имён файлов с логотипами брендов"
"Brand List","Витринная страница товарного раздела"
"Brand Logo is a Link to...","Куда должна вести гиперссылка с логотипа бренда?"
"Brand on Product Page","Отображать ли информацию о бренде на витринной товарной карточке?"
"Click to see more products from %s","Нажмите для просмотра всех товаров бренда «%s»."
"Delays loading of images to speed up page loading. Images outside of viewport will not be loaded before user scrolls to them.",""
"Duration (in milliseconds) of scrolling animation. Applied to automatic scrolling (if <strong>Timeout</strong> was specified) and to scrolling with pagination.",""
"Duration (in milliseconds) of scrolling animation. Applied to scrolling with arrows (and touch swipe).",""
"Filter Brands","Отображать ли только релевантные текущему товарному разделу бренды?"
"Identifier of the attribute which contains the information about brands in your store. Search for that code in <em>Catalog > Attributes > Manage Attributes</em>.","Модуль будет извлекать информацию об брендах из указанного Вами товарного свойства."
"If <strong>Category URL Suffix</strong> exists (in System > Configuration > Catalog), it can be appended at the end of the URL of a brand page. For example: www.example.com/brands/apple<strong style=""color:red"">.html</strong> (assuming that <strong style=""color:red"">.html</strong> was set as <strong>Category URL Suffix</strong>).","Если Вы укажете значение «да», то система будет добавлять к адресам страниц брендов то же окончание, что и для страниц товарных разделов (оно задаётся в разделе настроек «Система» → «Настройки» → «Каталог» → «Каталог» → «Оптимизация в поисковых системах (SEO)» → «Окончание для адресов страниц товарных разделов»).<br/>Например, если таким окончанием является «<strong style=""color:red"">.html</strong>», то система может сформировать для страницы бренда адрес: http://www.example.ru/brands/apple<strong style=""color:red"">.html</strong>"
"If enabled, animation will loop.",""
"If enabled, when the slider is mouseovered then the automatic transition functionality will pause.",""
"If set to ""No"", brand image will be replaced with brand name (simple text).","Если Вы укажете значение «нет», то модуль вместо логотипа будет показывать текстовое название бренда."
"If set to ""Yes"", all existing brands will be displayed. If set to ""No"", you will be able to select brands in the field below.","Если Вы укажете значение «нет», то система предложит Вам выбрать бренды для показа."
"If set to ""Yes"", display only those brands, which are currently assigned to products.",""
"If set to ""Yes"", display only those brands, which are currently assigned to products which are in stock.","Если Вы укажете значение «да», то система  не будет показывать бренды, для которых в текущем товарном разделе либо нет товаров, либо товары в разделе есть, но они отсутствуют на складе магазина."
