"Amount of smoothness/drift of the zoom image as it moves. The higher the number, the smoother/more drifty the movement will be. 1 = no smoothing.","«Инертность» в данном случае — это задержка движения увеличенной картинки по сравнению с движениями указателя лупы.<br/>Значение 1 отключает инертность.<br/>Значения больше 1 включают инертность.<br/>Чем больше значение — тем заметнее инертность.<br/>Просто сравните поведение картинки при значениях «1» и «20»."
"Applies a subtle blur effect to the main image. Does not work with tint.",""
"Automatic Scrolling Speed","Длительность (в милисекундах) анимации шага автоматический прокрутки карусели миниатюр"
"Bottom","снизу"
"Color which will cover the main image. Specify color in hex format, e.g. #aabbcc. Leave empty to disable. Does not work with <strong>Soft Focus</strong>.","Цвет указывается в 16-ричном формате, например: #ff0000.<br/>При пустом значении затенения не будет."
"Delays loading of images. If enabled, images outside of viewport will not be loaded before user scrolls to them.",""
"Duration (in milliseconds) of scrolling animation. Applied to automatic scrolling (if <strong>Timeout</strong> was specified).","Значение принимается во внимание только при положительном значении опциии «Интервал (в милисекундах) между шагами прокрутки для карусели миниатюр» выше."
"Enable Module","Включить?"
"Height of the enlarged image. This field refers to the actual resolution of the image after zooming.",""
"Height of the main product image. If not specified, height will be calculated automatically based on width.","Система примет во внимание данное значение только при значении «нет» опции «Сохранять исходные пропорции?».<br/>Если же опция «Сохранять исходные пропорции?» имеет значение «да», то система не будет принимать во внимание значение опции «Высота (в пикселях)».<br/>Если значение опции «Высота (в пикселях)» не указано, то система рассчитает его самостоятельно на основе значении опции «Ширина (в пикселях)» и пропорций исходного изображения."
"Height of the zoom area. This field will be ignored if <strong>Position</strong> is set to ""Inside"". Leave empty to use default.",""
"If disabled, images will be displayed the same as in Magento ""default"" theme.","При отключенном модуле просмотр товарных изображений будут работать как в стандартной теме Magento."
"If enabled, scrolling will loop.",""
"If set to ""Yes"", after image is displayed in the lightbox, ""next"" and ""previous"" buttons will be displayed.","При значении «да» всплывающее окно будет содержать стрелки «вперёд» и «назад» для перелистывания изображений товара (когда таких изображений у товара несколько)."
"If set to ""Yes"", Cloud Zoom will be used to zoom product images.","Если Вы укажете значение «да», то посетители смогут рассматривать товар детально посредством лупы.<br/>Пример лупы можно увидеть на сайте «<a href='https://www.victoriassecret.com/clothing/dresses-c/asymmetrical-midi-dress?ProductID=202878&CatalogueType=OLS'>Victoria's Secret</a>»."
"If set to ""Yes"", lightbox will be used to zoom product images.",""
"image {current} of {total}","изображение {current} из {total}"
"Image Height After Zooming","Ширина (в пикселях) прямоугольной области детального просмотра в режиме лупы"
"Image Size","Размеры главного изображения товара на витринной товарной карточке"
"Image Width After Zooming","Высота (в пикселях) прямоугольной области детального просмотра в режиме лупы"
"Inside","внутри"
"Keep Image Aspect Ratio","Сохранять исходные пропорции?"
"Lazy Loading","Отложить загрузку с сервера используемых каруселью файлов изображений до попадания карусели в поле зрения пользователя?"
"Left","слева"
"Lens Opacity (%)","Процент непрозрачности указателя лупы"
"Lightbox","Всплывающее окно"
"Lightbox As Gallery","Предоставлять ли возможность перелистывания изображений во всплывающем окне?"
"Main Image Height","Система примет во внимание данное значение только при значении «нет» опции «Сохранять исходные пропорции?».<br/>Если же опция «Сохранять исходные пропорции?» имеет значение «да», то система не будет принимать во внимание значение опции "
"Main Image Height","Высота (в пикселях)"
"Main Image Width","Ширина (в пикселях)"
"Maximum Height","Максимальная высота"
"Maximum Width","Максимальная ширина"
"Move Items","На сколько элементов должна прокручиваться карусель миниатюр за один шаг?"
