"<strong>IMPORTANT</strong>:<br/><strong style=""color:red;"">in case you need the original content of some static blocks or pages<br/>XML files with all static blocks and pages can be found in the following directory:<br/>app/code/local/Infortis/Fortis/etc/import/</strong><br/><br/>","Помимо автоматического импорта исходных демо-данных и настроек, Вы можете также просмотреть их и импортировать вручную: они хранятся в файлах XML в папке <b>app/code/local/Infortis/Ultimo/etc/import</b>.<br/>Обратите внимание, что это всего лишь архивная копия исходных демо-данных, и, находясь в этой папке, они никакого влияние на интернет-магазин не оказывают."
"<strong>IMPORTANT:</strong><br/>Width of the product page columns (<strong>Image Column</strong>, <strong>Primary Column</strong>, <strong>Secondary Column</strong>) is specified in grid units. Sum of all columns has to be <strong>equal 12 grid units</strong>.<br/><br/>","<strong>ВАЖНО:</strong><br/>Ширина информационных колонок в расположенной ниже секции настроек «<b>Ширина информационных колонок</b>» задаётся в ячейках <b>12-колоночной модульной сетки</b>.<br/>Чтобы все 3 информационные колонки помещались в одном ряду, сумма их ширин в ячейках модульной сетки не должна превышать <b>12</b>."
"Additional Spacing","Дополнительные отступы"
"Alt. Image Column Value","Значение, которым помечается альтернативное изображение"
"Animate Icons","Приводить ли пиктограммы в движение при наведении на них указателя мыши?"
"Animation will only take effect if icon on mouse hover have different color than standard icon, e.g. if option ""White | Black on hover"" was selected.","При значении «<b>да</b>» и наведении на пиктограмму указателя мыши пиктограмма начнёт подпрыгивать.<br/>Опция учитывается системой только если в качестве цвета пиктограммы выше выбрано значение «<b>белый | при наведении — чёрный</b>» или значение «<b>чёрный | при наведении — белый</b>»."
"Background color of the grid and list when ""Boxed Style"" is enabled (""Boxed Style"" can be enabled/disabled in Theme Settings section).","Эта опция учитывается только при включенности опции «<b>Добавлять ли подложку под мини-карточки?</b>» разделов настроек «Система» → «Настройки» → «Фортис» → «Элементы витрины» → «Страница товарного раздела в режиме плитки» и «Система» → «Настройки» → «Фортис» → «Элементы витрины» → «Страница товарного раздела в режиме списка».<br/>Опция задаёт не цвет подложки, а цвет общего блока, на котором расположены все подложки."
"Background color of the inner container. Set this color to display an outline around the menu items.</br><strong>Note:</strong> if option <strong>Stretched</strong> is enabled, outline will not be visible because menu bar will cover the inner container.","Проявляет себя как рамка вокруг меню."
"Background Color Opacity (%)","Процент непрозрачности фона"
"Block ""Compare"" in the Header","Показывать ли пункт «Сравнение» меню пользователя?"
"Boxed Style","Добавлять ли подложку под мини-карточки?"
"Boxed Style [beta]","Добавлять ли подложку под мини-карточки?"
"Breadcrumbs","Навигационная цепочка (хлебные крошки)"
"Cart/Compare Icon Color","Цвет пиктограмм меню «Корзина» и «Сравнить» меню пользователя"
"Colors of icons:<br/>- in mobile menu: open/close buttons<br/>- home icon which is displayed if<br/><strong>Home Link: Inside Menu Item</strong> was enabled in menu settings.",""
"Color of the icon which is displayed if<br/><strong>Home Link: Single Icon</strong> was enabled in menu settings.","Эта опция принимается во внимание только при включенности опции «Система» → «Настройки» → «Модули Infortis» → «Меню» → «Дополнительные настройки главного меню» → «Автономная пиктограмма-домик со ссылкой на главную страницу магазина слева от главного меню» → «Показывать только иконку?»."
"Empty cart can be hidden on mobile devices (if browser viewport is narrower than 480 pixels).","При значении «<b>да</b>» пустая корзина будет скрыта с экранов уже 480 пикселей."
"Enable this option to load ""custom.css"" file in which you can override the default styling of the theme. To create ""custom.css"" you can use the file ""SAMPLE.custom.css"" which is located in skin/frontend/fortis/default/css directory.","После включения этой опции создайте файл с именем <b>custom.css</b> и поместите его в папку <b>skin/frontend/ultimo/default/css</b>.<br/>В этот файл Вы можете добавлять требуемые Вам правила CSS, и они будут применены к веб-страницам витрины Вашего магазина."
"Enter number between 0 and 100. 0 is fully transparent, 100 is fully opaque.","Укажите целое число от 0 до 100.<br/>При значении 0 пиктограма не будет видна (будет полностью прозрачна).<br/>При значении 100 не будет виден расположенный под пиктограммой экранный элемент (пиктограмма будет полностью непрозрачной)."
"Font Settings: Mega Drop-Down","Шрифты в широкоформатном режиме работы меню"
"Fortis 2.5.1","Фортис"
"Grid items displayed with ""borders"" (color of ""borders"" can be changed in Theme Design section). Feature is in beta version.","Цвет подложки настраивается в разделе «Цвета, шрифты, спецэффекты».<br/>Например, каждая мини-карточка может быть расположена на белой подложке, а все мини-карточки вместе — на серой подложке."
"Header Icons","Пиктограммы"
"Hide Empty Cart on Mobile Devices","Скрывать ли пустую корзину с экранов небольших размеров?"
"Home Link Icon Color","Цвет"
"Home Link: Single Icon","Автономная пиктограмма-домик со ссылкой на главную страницу магазина слева от главного меню"
"Icon","пиктограмма"
"Icon Above Label","пиктограмма и подпись под ней"
"Icon Opacity (%)","Процент непрозрачности пиктограмм"
"Icons: Mobile Menu and ""Home Link: Inside Menu Item""","Пиктограмма-домик как часть главного меню и пиктограммы разворачивания/сворачивания раздела меню-гармошки (отображаются как «+» и «-»)"
"If set to ""Yes"", menu bar will be stretched to cover the inner container (it will have the same width as the width of the inner container).","При значении «<b>да</b>» у блока пропадут боковые поля, и содержимое блока чуть растянется, занимая освободившееся от полей место."
"If set to ""Yes"", side padding of the header will be removed. Header will have the same width as the width of the content area of the main section of the page.","При значении «<b>да</b>» у блока пропадут боковые поля, и содержимое блока чуть растянется, занимая освободившееся от полей место."
"In this tab, you can configure the breadcrumbs section.",""
