"""Add to wishlist"" and ""Add to compare"" links.",""
"""Add to wishlist"" and ""Add to compare"" links will be hidden if width of the browser viewport is below selected value.","При ширине экрана меньше заданной иконки (ссылки) «запомнить» и «сравнить» будут скрыты."
"""Add to"" Icon Background Color","Фоновый цвет иконок"
"""Add to"" Icon Hover Background Color","Фоновый цвет иконки при наведении на неё указателя мыши"
"""Add to"" Links Icons","Ссылки «запомнить», «сравнить», «рассказать другу»"
"""Add to"" Links","Иконки (ссылки) «запомнить» и «сравнить»"
"""Cart"" Drop-down","Пункт «Корзина» меню пользователя"
"""Compare"" Drop-down","Пункт «Сравнение» меню пользователя"
"""Image Column Width"" has changed (previous value: %s). Adjust the ""Main Image Width"" value in System > Configuration > Zoom > Image Size","Изменено значение свойства «ширина колонки с изображением товара». Обновите значение свойства «ширина основного изображения товара» в разделе настроек «Система» → «Настройки» → «Зум» → «Размеры изображений»."
"""Sign Up"" Link","Показывать ли в меню пользователя пункт «Регистрация»?"
"<strong>IMPORTANT:</strong><br/>Width of the header columns is specified in <strong style=""color:red;"">grid units</strong>.<br/>If you want to display three columns (<strong>Left Column</strong>, <strong>Central Column</strong>, <strong>Right Column</strong>) in a single row,<br/>sum of these columns has to be <strong>equal 12 grid units</strong>, for example:<br/>4 + 4 + 4, or 4 + 0 + 8, or 3 + 0 + 9, or 0 + 12 + 0.<br/><br/>","Ширина колонок задаётся в колонках <strong>модульной сетки</strong>.<br/>Чтобы все 3 колонки (левая, центральная и правая) поместились в одном ряду, сумма их ширин должна быть равна <strong>12 колонкам модульной сетки</strong>, например:<br/>4 + 4 + 4, 4 + 0 + 8, 3 + 0 + 9, 0 + 12 + 0.<br/><br/>"
