"- <strong>Drop-down</strong> - standard drop-down menu<br/>{\n}{\t}{\t}{\t}{\t}{\t}{\t}{\t}{\t}- <strong>Mobile</strong> - collapsible accordion dedicated for mobile devices<br/>{\n}{\t}{\t}{\t}{\t}{\t}{\t}{\t}{\t}- <strong>Drop-down/Mobile</strong> - combination of both modes. You can specify width (see the <strong>Threshold</strong> field) of the browser viewport, below which the drop-down menu turns into the mobile menu.<br/>","- <strong>«обычное выпадающее меню»</strong> - Вы можете увидеть, открыв демо-сайт оформительской темы с настолького компьютера<br/>- <strong>«для маленьких экранов (гармошка)»</strong> - Вы можете увидеть, что из себя представляет меню-гармошка, открыв демо-сайт оформительской темы с настолького компьютера и затем сжав окно браузера по ширине<br/>- <strong>«оба режима: обычный и гармошка»</strong> - меню будет отображаться либо в обычном режиме, либо в режиме гармошки, в зависимости от ширины окна браузера. Это наиболее разумный вариант. Вы можете указать, при какой ширине экрана меню будет отображаться в том или ином режиме, посредством опции «Система» → «Настройки» → «Модули Infortis» → «Меню» → «Меню для маленьких экранов (гармошка)» → «<b>Ширина экрана (в пикселях), меньше которой меню переходит режим «гармошка»</b>».<br/>"
"<h2 style=""color:red;"">New:</h2>Options ""Enable Classic Style"" and ""Enable Wide Style"" were removed. Style of the drop-down box can be now specified individually for each category.<br/>More info can be found in the <strong>User Guide</strong> (chapter 13).<br/><br/><br/><br/>","В этой секции настраивается главное меню.<br/>Стиль главного меню (классический или широкоформатный) теперь назначается индивидуально для каждого товарного раздела (ветки меню) в административных настройках товарного раздела."
"Additional Settings","Другие настройки"
"Additionally you can use variable <em>[current_category]</em> inside the title to create dynamic name of the block. Variable will be replaced with the name of the current category.","В названии Вы можете использовать переменную <em>[current_category]</em>: система заменит её на название текущего товарного раздела."
"Align custom static block to the right side of the menu bar. To add custom static block to the menu you need to create a static block with ID <em>block_header_nav_dropdown</em> in <em>CMS > Static Blocks</em>. Content of that static block will be displayed as a drop-down box.<br/><strong style=""color:red;"">Important:</strong> <strong>this option is deprecated.</strong><br/>To add custom drop-down block to the menu: create a new category in <em>Catalog > Manage Categories</em> and add your content to the ""Top Block"" field which can be found in the <em>Menu</em> tab. This way you can add multiple custom drop-down blocks to the menu. More info can be found in the user guide.",""
"Align Drop-down With Menu Bar","Выравнивать правый край широкоформатного меню по правому краю информационной области страницы?"
"Alternatively, you can enable this option to show single icon as a link to the home page. The icon will be displayed without any additional background color. If it's enabled, options <strong>Home Link: Text</strong> and <strong>Home Link: Icon</strong> will be <span style=""color:red;"">ignored</span>.","При значении «да» этот пункт меню будет содержать только иконку, без текста. При этом значения опций «Показывать текст?» и «Показывать иконку?» не будут приниматься во внимание)."
"An icon and text ""Home"", displayed as a standard menu item.","По умолчанию это самый левый пункт «Главная» главного меню"
"Basic Settings","Основные настройки"
"Block Title","Название блока с боковым меню"
"Category blocks will be hidden in mobile menu on small mobile devices (if width of the browser viewport is below 320px).",""
"Category Labels","Ярлыки на разделах меню"
"Category View (Left Sidebar)","Страницы товарных разделов.<br/>Левая боковая колонка"
"Category View (Right Sidebar)","Страницы товарных разделов.<br/>Правая боковая колонка"
"CMS Pages (Left Sidebar)","Самодельные страницы.<br/>Левая боковая колонка"
"CMS Pages (Right Sidebar)","Самодельные страницы.<br/>Правая боковая колонка"
"Collapsed","Должна ли гармошка быть изначально сжата?"
"Current category - show subcategories of current category","показывать ветки детей текущего товарного раздела"
"Custom Static Block - Align Right","Выравнивать правый край выпадающего самодельного блока в правой части меню по правому краю информационной области страницы?"
"Define the text of the category label 1. Labels can be assigned to every category in Catalog > Manage Categories.","Ярлык назначается товарному разделу на административном экране раздела"
"Define the text of the category label 2. Labels can be assigned to every category in Catalog > Manage Categories.","Ярлык назначается товарному разделу на административном экране раздела"
"Drop-down","обычное выпадающее меню"
"Drop-down/Mobile","оба режима: обычный и гармошка"
"Enable/disable entire main menu bar in the header section of the page.","Вы можете скрыть главное меню"
"Enable Sidebar Menu","Настройка стандартных мест отображения бокового меню"
"Enable to display categories in the main menu.","Вы можете исключить главного меню все товарные разделы"
"Enable to show single icon as a link to the home page. Icon will be displayed without any additional background color. It can be used instead of the standard menu item with link to the home page (see: <strong>Home Link: Inside Menu Item</strong>).","Этот элемент не является частью главного меню.<br/>Вместо показа этого элемента Вы можете отобразить пиктограмму-домик в главном меню, настроив опции расположенной ниже секции<br/>«Пункт главного меню со ссылкой на главную страницу магазина»."
"Fallback Block Title","Название блока с боковым меню в том случае, когда текущего товарного раздела у текущей страницы нет"
"Fallback To Root Category","Отображать ли меню от корневого товарного раздела в тех случаях, когда текущего товарного раздела у текущей страницы нет?"
"Hide Category Blocks Below 320px","Скрывать самодельные блоки пунктов меню при ширине экрана меньше 320 пикселей?"
"Hide Magento's Category Filter","Скрыть стандартный для Magento блок пошаговой фильтрации?"
"Hide Sidebar Menu on Mobile Devices","Скрывать боковое меню с маленьких экранов?"
"Home","Главная"
"Home Link","Ссылка на главную страницу магазина"
"Home Link: Icon","Показывать иконку?"
"Home Link: Inside Menu Item","Пункт главного меню со ссылкой на главную страницу магазина"
"Home Link: Text","Показывать текст?"
"Home Page (Left Sidebar)","Главная страница.<br/>Левая боковая колонка"
"Home Page (Right Sidebar)","Главная страница.<br/>Правая боковая колонка"
