"<h2 style=""color:red;"">New:</h2><strong>Slideshows can be displayed on any CMS page and in any static block.</strong><br/>To display a slideshow in a selected place just use the slideshow block code (shortcode). The code is described in the <strong>User Guide</strong> (chapter 11).<br/>For example, enter the code in the content field of your static block, Magento will automatically replace the code with a slideshow during page rendering.<br/><br/><h2>Home page:</h2>To quickly display slideshow on home page, just configure options under <em>Main Slideshow on Home Page</em>.<br/><br/><br/><br/>","Вы можете добавить слайд-шоу на любую самодельную страницу и в любой самодельный блок посредством специального макроса:<pre>{{block{\n}{\t}type='ultraslideshow/slideshow'{\n}{\t}template='infortis/ultraslideshow/slideshow.phtml'{\n}{\t}slides='block_slide1, block_slide2'{\n}}}</pre><a href='http://magento-forum.ru/topic/4808/' style='color:rgb(234, 118, 1); margin-left:0;'>документация к модулю</a>"
"<strong style=""color:red;"">Important:</strong> Leave empty to use simple horizontal scrolling animation.","Для стандартного спецэффекта горизонтальной прокрутки оставьте значение данной опции пустым."
"Additional bottom margin for the slideshow. You can set margin to add extra space below the slideshow.","Значение может быть отрицательным: тогда расстояние от слайд-шоу до расположенного ниже экранного элемента станет меньше обычного."
"Additional top margin for the slideshow. You can set margin to add extra space above the slideshow. Enter negative value to pull the slideshow up.","Значение может быть отрицательным: тогда расстояние от слайд-шоу до расположенного выше экранного элемента станет меньше обычного."
"Automatic Scrolling Speed","Длительность (в милисекундах) анимации шага автоматической смены слайдов"
"backSlide","скольжение назад"
"Banners","Баннеры сбоку от слайд-шоу"
"Bottom, centered","под слайд-шоу по центру"
"Bottom, centered, over the slides","в нижней части слайд-шоу по центру"
"Bottom, left","под слайд-шоу слева"
"Bottom, left, over the slides","в нижней части слайд-шоу слева"
"Bottom, right","под слайд-шоу справа"
"Bottom, right, over the slides","в нижней части слайд-шоу справа"
"Bottom Margin","Вертикальный отступ (в пикселях) слайд-шоу от расположенного ниже экранного элемента"
"Disabled","отсутствует"
"Duration (in milliseconds) of scrolling animation. Applied to automatic horizontal scrolling (if <strong>Timeout</strong> was specified) and to horizontal scrolling with pagination.",""
"Duration (in milliseconds) of scrolling animation. Applied to horizontal scrolling with arrows (and touch swipe).","Применяется в том случае, когда пользователь листает слайды вручную."
"Enable, if your slides do not have the same height. It will allow height of the slideshow to animate smoothly.",""
"Enter comma separated list of static block identifiers. These static blocks will be displayed as slides in the main slideshow on home page.<br/><strong style=""color:#F00;"">Important:</strong><br/><strong>Leave this field empty to remove the main slideshow from the home page.</strong><br/><strong>Notice:</strong><br/>Value of this field will be applied only to the main slideshow on home page. To display slideshows in other places use slideshow block code described in the user guide.","Перечислите через запятую идентификаторы самодельных блоков, которые станут слайдами на главной странице магазина.<br/>При пустом значении слайд-шоу на главной странице отображаться не будет."
"fade","затухание"
"fadeUp","постепенное прояснение"
"Fade","затухание"
"goDown","перемещение вниз"
"Hide Banners On Mobile Devices","Скрывать баннеры с маленьких экранов?"
"Hide Slides On Mobile Devices","Скрывать слайд-шоу с маленьких экранов?"
"Identifier of a single static block which contains additional banners for the slideshow. Banners will be displayed at the side of the slideshow.<br/><strong style=""color:#F00;"">Important:</strong><br/>leave this field empty to remove additional banners from the main slideshow on home page.","Укажите идентификатор самодельного блока, который содержит баннеры для отображения сбоку от слайд-шоу на главной странице магазина.<br/>При пустом значении баннеры сбоку от слайд-шоу на главной странице отображаться не будут."
"If enabled, the main slideshow will be displayed at the top of the main content area of the home page (just below the main menu).<br/><strong>Important:</strong> do not enable slideshow in both positions at the same time.","Не включайте одновременно оба слайд-шоу, потому что они отображаются в одном и том же месте (но при этом одно — резиновое, а другое — фиксированной ширины)."
"If enabled, the main slideshow will be displayed at the top of the main content area of the home page (just below the main menu). Slideshow will take full available width.<br/><strong>Important:</strong> do not enable slideshow in both positions at the same time.","Не включайте одновременно оба слайд-шоу, потому что они отображаются в одном и том же месте (но при этом одно — резиновое, а другое — фиксированной ширины)."
"If enabled, when the slideshow is mouseovered then the automatic transition functionality will pause.",""
"If set to ""Yes"", banners will be hidden on narrow screens (if browser viewport width is less than 768 pixels).","Скрывает баннеры с экранов уже 768 пикселей."
"If set to ""Yes"", slideshow will be hidden on narrow screens (if browser viewport width is less than 768 pixels). Important: additional banners can be hidden separately, see options below.","Скрывает слайд-шоу с экранов уже 768 пикселей."
"In this tab you can configure additional banners displayed at the side of the slideshow.<br/><br/>",""
"In this tab you can configure slideshow navigation elements.<br/><br/>",""
"Left","слева"
"Main Slideshow on Home Page","Главная страница витрины"
"Navigation","Ссылки для перелистывания слайдов"
"Pagination","Ссылки для перелистывания слайдов"
"Pagination Position","Расположение ссылок для перелистывания слайдов относительно слайд-шоу"
"Pause on Hover","Приостанавливать ли смену слайдов при наведении указателя мыши?"
"Position of Banners","Расположение баннеров относительно слайд-шоу"
"Position: Above Content Area, Boxed","Включить слайд-шоу во всю ширину информационной области страницы (фиксированной ширины)?"
"Position: Above Content Area, Full Width","Включить слайд-шоу во всю ширину окна браузера (резиновое)?"
"Right","справа"
"Slide","скольжение"
"Slides","Слайды"
"Slideshow","Слайд-шоу"
"Smooth Height","Сглаживать перепады верхнего края слайдов в том случае, когда слайды имеют разную высоту?"
"Style 1","стиль №1"
"Style 2","стиль №2"
"Time (in milliseconds) between slide transitions. Enter ""0"" to disable automatic transition. Note that 1000 miliseconds = 1 second.","При значении «0» слайды не будут сменяться автоматически."
"Timeout","Интервал (в милисекундах) между автоматической сменой слайдов"
"Top Margin","Вертикальный отступ (в пикселях) слайд-шоу от расположенного выше экранного элемента"
"Transition Effect","Спецэффект при смене слайдов"
"Transition Speed","Длительность (в милисекундах) анимации шага ручной смены слайдов"
