"Actions","команда"
"An error occurred while marking notification as read.","При пометке уведомления прочитанным произошёл сбой."
"An error occurred while marking the messages as read.","При пометке уведомлений прочитанными произошёл сбой."
"An error occurred while removing messages.","При удалении уведомлений произошёл сбой."
"An error occurred while removing the message.","При удалении уведомления произошёл сбой."
"Are you sure?","Вы уверены?"
"Date Added","Дата добавления"
"Last Update","Последнее обновление"
"Mark as Read","уже читал"
"Mark as read","уже читал"
"Message","Уведомление"
"Messages Inbox","Уведомления"
"Notifications","Уведомления"
"Please select messages.","Укажите уведомления."
"Read Details","подробнее"
"Remove","удалить"
"Severity","Важность"
"Show List","Показать список"
"Show Toolbar","Показать панель инструментов"
"The message has been marked as read.","Уведомление помечено прочитанным."
"The message has been removed.","Уведомление удалено."
"Total of %d record(s) have been marked as read."," %d записей помечены как прочитанные."
"Total of %d record(s) have been removed."," %d записей удалено"
"Unable to proceed. Please, try again.","Невозможно продолжить. Повторите попытку позже."
"Update Frequency","Периодичность обновлений"
"Use HTTPS to Get Feed","Использовать HTTPS для получения сообщений"
"critical","критично"
"major","важно"
"minor","обычно"
"notice","новость"
