" and "," и "
" note that the URLs provided below are the correct values for your current website): "," напоминаем, что показанные ниже адреса правильные для Вашего текущего сайта): "
"(Absolute path or Relative to Magento install root, ex. var/export)","(Абсолютный или относительный путь к корневой папке Magento, например var/export)"
"(For US 2-letter state names)","(Для двухбуквенных названий штатов США)"
"(If left empty will be auto-generated)","(Будет создано автоматически, если оставить пустым)"
"(Leave empty for first spreadsheet)","(Оставьте пустым для первой таблицы)"
"(Products will be added/updated to this store if 'store' column is blank or missing in the import file.)","(Товар будет добавлен/обновлён для этого магазина, если столбец 'магазин' пустой или отсутствует в файле импорта.)"
"(Shift-)Click or drag to change value","(Shift+)Нажмите или тяните для изменения значения"
"(Starting with)","(Начиная с)"
"(When 'No', only mapped fields will be imported. When mapping, use 'column1', 'column2', etc.)","(Если выбрано 'Нет', будут импортированы только привязанные(mapped) поля. Когда привязываете поля, используйте 'column1', 'column2' и т.д.)"
"(You have to increase php memory_limit before changing this value)","(Необходимо увеличить php memory_limit перед изменением этого значения)"
"(\\t for tab)","(\\t для tab)"
"- Click on any of the time parts to increase it","- Нажмите на любую часть времени для её увеличения"
"- Hold mouse button on any of the above buttons for faster selection.","- Держите кнопку мышки нажатой на любой из этих кнопок для более быстрого выбора."
"- Use the %s buttons to select month","- Используйте кнопки %s для выбора месяца"
"- Use the %s, %s buttons to select year","- Используйте кнопки %s, %s для выбора года"
"- or Shift-click to decrease it","- или Shift+щелчок мышки для уменьшения"
"- or click and drag for faster selection.","- или нажмите и тяните для более быстрого выбора."
"-- Please Select Billing Agreement--","-- Выберите соглашение с PayPal о безакцептном списании --"
"10:40:00 AM","10:40 утра"
"80px x 80px","80px x 80px"
"80x80 px","80x80 px"
"About the calendar","О календаре"
"Access denied.","Доступ запрещён."
"Account Created in:","Интерфейс регистрации:"
"Account Created on (%s):","Время регистрации (%s):"
"Account Created on:","Время регистрации:"
"Action","Действие"
"Actions","команда"
"Activate","Активировать"
"Add Contents Path","Добавить путь к содержимому"
"Add Field with URL:","Добавить поле с URL:"
"Add More Templates","Добавить больше шаблонов"
"Add New Role","добавить должность"
"Add New User","Добавить администратора..."
"Add PHP Extension dependency","Добавить зависимость от расширений PHP"
"Add Package dependency","Добавить зависимость от пакетов"
"Add to Cart","в корзину"
"Add to Wishlist","запомнить"
"Address Type:","Тип адреса:"
"AirMail Template Preview","Предварительный просмотр шаблона AirMail"
"All","Все"
"All Websites","Все сайты"
"All fields","Все поля"
"Apply Theme","Применить тему"
"Archive file name:","Имя файла архива:"
"Are you sure that you want to delete this template?","Вы действительно хотите удалить этот шаблон?"
"Are you sure that you want to strip tags?","Удалить все теги разметки HTML?"
