"# of Use","# использования"
"%1$s incl tax.","%1$s вкл. налог."
"%s - %s","%s — %s"
"%s Item(s)","%s шт."
"%s and above","%s и больше"
"(%d)","(%d)"
"(Copy data from: %s)","(Скопировать данные из: %s)"
"(Will make search for the query above return results for this search.)","(Если Вы укажете в этом поле синонимы для редактируемого сейчас запроса,<br/>то при вводе редактируемого сейчас запроса посетителем магазина система добавит к результатам поиска<br/>результаты поиска для указанного Вами синонима.)"
"* Required Fields","* обязательные поля"
"-- Please Select --","-- выберите значение --"
"86400 by default, if not set. To refresh instantly, Clear the Blocks HTML Output Cache.","Если не указано, то используется значение по умолчанию: 86400. Чтобы обновить незамедлительно, удалите кэш блоков HTML."
"<strong style=""color:red"">Warning!</strong> Applying MAP by default will hide all product prices on the frontend.","<strong style=""color:red"">Внимание!</strong> Если для конкретного товара не задано индивидуальное значение этой опции, то включение этой опции здесь приведёт к скрытию ценников с витрины."
"A group with the same name already exists.","Группа с таким же именем уже существует."
"A name is required","Имя обязательно"
"A product type is not defined for the indexer.","Сбой построения расчётной таблицы: у товара почему-то отсутствует информация о его типе."
"ALL GROUPS","Все категории"
"AM","AM"
"Action","Действие"
"Add Attribute","Добавить свойство"
"Add Design Change","Изменить оформление"
"Add Group","Добавить группу"
"Add Group Price","Добавить особую цену"
"Add New","Добавить..."
"Add New Attribute","Добавить новое свойство"
"Add New Attribute Set","Описание нового прикладного типа товаров"
"Add New Group","Добавить новую группу"
"Add New Images","Добавить новые изображения"
"Add New Option","Добавить новый вариант"
"Add New Row","Добавить новую строку"
"Add New Search Term","Добавить новый поисковый запрос"
"Add New Set","Добавить новый тип"
"Add Product","Добавить товар"
"Add Product To Websites","Добавить товар на сайты"
"Add Root Category","Добавить раздел"
"Add Subcategory","Добавить подраздел"
"Add Tax","Добавить"
"Add Tier","Добавить цену"
"Add to Cart","в корзину"
"Add to Compare","сравнить"
"Add to Wishlist","запомнить"
"Additional Info","Характеристики"
"Additional Information","Характеристики"
"Alert Urls","Alert Urls"
"All","Все"
"All Product Types","Все типы товаров"
"All Websites","Все сайты"
"All products of this set will be deleted! Are you sure you want to delete this attribute set?","Удалить это прикладной тип товаров? При этом будут удалены все товары этого типа."
"Allow All Products per Page","Разрешить «все» в качестве значения параметра «товаров на странице»?"
"Allow Dynamic Media URLs in Products and Categories","Разрешать ли динамические адреса для медиа-содержимого на страницах товаров и товарных разделов?"
"Allow HTML Tags on Frontend","Может ли значение содержать теги HTML?"
"Allowed File Extensions","Разрешённые расширения файлов"
"Allowed file types: jpeg, gif, png.","допустимые типы файлов: jpeg, gif, png"
"Allowed file extensions to upload","Разрешённые для закачивания расширения файлов"
"Also Purchased","Другие популярные товары"
"An error occurred while adding customers for the %s alert. Message: %s","При подписке покупателей на оповещение «%s» произошёл сбой. Сообщение: «%s»."
"An error occurred while adding products to websites.","При размещении товаров на сайтах произошёл сбой."
"An error occurred while clearing comparison list.","При удалении товаров из сравнительной таблицы произошёл сбой."
"An error occurred while removing products from websites.","При снятии товара с продажи произошёл сбой."
"An error occurred while saving the URL rewrite.","При создании или изменении адреса страницы произошёл сбой."
"An error occurred while saving the attribute set.","При сохранении прикладного типа товаров произошёл сбой."
"An error occurred while saving the collection, aborting. Error message: %s","При сохранении объектов произошёл сбой. Сообщение: %s"
"An error occurred while saving the product. ","При сохранении товара произошёл сбой. "
"An error occurred while saving the search query.","При сохранении поискового запроса произошёл сбой."
"An error occurred while saving this group.","При сохранении группы произошёл сбой."
"An error occurred while trying to delete the category.","При удалении раздела произошёл сбой."
"An error occurred while updating the product(s) attributes.","При обновлении свойств товара произошёл сбой."
"An error occurred while updating the product(s) status.","При снятии товара с продажи / выставлении на продажу произошёл сбой."
"An invalid group ID is specified, skipping the record.","Указан неправильный ид группы, пропуск записи."
"An invalid option ID is specified for %s (%s), skipping the record.","Указан неправильный ид варианта для %s (%s), пропуск записи."
"An invalid store was specified.","Указан неправильный магазин."
"Anchor Custom Text","Текст ссылки"
"Anchor Custom Title","Заголовок ссылки"
"Applicable to catalog products and categories only. Any media content will be inserted into editor as a static URL. It is not updated if the system configuration base URL changes.","Обратите внимание, что если после вставки окончательных (статичных) веб-адресов Вы измените основной веб-адрес сайта (например, перенесёте сайт на другой домен), то ссылки перестанут работать."
"Apply MAP","Накладывает ли производитель на товар ценово-рекламные ограничения?"
"Apply MAP (Default Value)","Считать ли по умолчанию, что на товар наложены ценово-рекламные ограничения производителя?"
"Apply To","Применить к"
"Approved","Одобрено"
"Are you sure you want to delete this category?","Вы действительно хотите удалить этот раздел?"
"Are you sure you would like to remove all products from your comparison?","Удалить все товары из сравнительной таблицы?"
"Are you sure you would like to remove this item from the compare products?","Удалить товар из сравнительной таблицы?"
"Are you sure?","Вы уверены?"
"As low as:","Начиная с:"
"Assign","Назначить"
"Assign product link","Назначить ссылку на товар"
"Assign product to category","Назначить товар в раздел"
"Assigned Products","Назначенные товары"
"Associated Products","Варианты товара"
"Attrib. Set Name","Прикладной тип"
"Attribute ""%s"" is invalid.","Неверное свойство «%s»."
"Attribute ""%s"" is required.","Свойство «%s» обязательно для заполнения."
"Attribute Information","Параметры свойства"
"Attribute Model","Модель свойства"
"Attribute Name:","Название свойства:"
"Attribute Set","Прикладной тип товара"
"Attribute group with the \""/name/\"" name already exists","Группа свойств с названием «/name/» уже существует"
"Attribute with the same code already exists","Свойство с таким кодом уже существует"
"Attributes","Типы и их свойства"
"Attrribute names can be specified per store.","Названия свойств могут быть определены для каждого магазина."
"Autogenerate","на усмотрение системы"
"Availability:","Доступность:"
"Back","вернуться"
"Backend Model","Backend модель"
