"%d Catalog Price Rules based on ""%s"" attribute have been disabled.","Система прекратила действие %d ценовых правил для каталога, условия предоставления которых использовали свойство товара «%s»."
"Actions","Действия"
"Active","Активно"
"Add New Rule","Добавить правило"
"An error occurred while deleting the rule. Please review the log and try again.","При удалении правила произошёл сбой. Информация о сбое может содержаться в журнале неполадок системы."
"An error occurred while saving the rule data. Please review the log and try again.","При сохранении правила произошёл сбой. Информация о сбое может содержаться в журнале неполадок системы."
"Apply Rules","Применить правила"
"Attribute Set","Прикладной тип товара"
"Catalog","Каталог"
"Catalog Price Rule","Ценовое правило для каталога"
"Catalog Price Rules","Ценовые правила для каталога"
"Category","Раздел"
"Conditions","Условия"
"Conditions (leave blank for all products)","Условия (оставьте пустым для всех товаров)"
"Conditions Combination","Набор условий"
"Customer Groups","Категории покупателей"
"Customer Registered: %s","Дата регистрации покупателя: %s"
"Customer is a New Buyer: %s","Покупатель — новичок: %s"
"Date Expire","Утрата силы"
"Date From","Вступление в силу"
"Date Start","Вступление в силу"
"Date To","Утрата силы"
"Delete Rule","Удалить правило"
"Description","Описание"
"Description: %s","Описание: %s"
"Edit Rule","Настройка правила"
"Edit Rule '%s'","Правило: «%s»"
"Expire at: %s","Окончание: %s"
"From Date","С даты"
"General Information","Общая информация"
"ID","№"
"Inactive","Неактивно"
"NOT LOGGED IN","Анонимный посетитель"
"Name: %s","Название: %s"
"New Rule","Новое правило"
"No","нет"
"Options","Параметры"
"Priority","Приоритет"
"Product Attribute","Свойство товара"
"Promotions","Ценовые правила"
"Rule Information","Параметры правила"
"Rule Name","Название правила"
"Save Rule","сохранить правило"
"Save and Apply","сохранить и применить"
"Save and Continue Edit","сохранить и остаться"
"Start at: %s","Запуск в: %s"
"Status","Состояние"
"Stop Further Rules Processing","Не применять другие правила после применения данного"
"The rule has been deleted.","Правило удалено."
"The rule has been saved.","Правило сохранено."
"The rules have been applied.","Правила применены."
"There are rules that have been changed but were not applied. Please, click Apply Rules in order to see immediate effect in the catalog.","Некоторые правила были изменены. Теперь их требуется применить к ценам. Нажмите «Применить правила»."
"This rule no longer exists.","Это правило больше не существует."
"To Date","По дату"
"Unable to apply rules.","При применении правил произошёл сбой."
"Unable to find a rule to delete.","Система не нашла подлежащее удалению правило."
"Update product's %s %s: %s","Обновить товару %s %s: %s"
"Websites","Сайты"
"Wrong rule specified.","Указано неверное правило."
"Yes","да"
