"(0 item) - ",""
"(1 item) - ","(1 товар) - "
"(%s items) - ","(товаров: %s) - "
"%s was added to your shopping cart.","товар <strong>«%s»</strong> добавлен в корзину"
"%s was updated in your shopping cart.","товар <strong>%s</strong> обновлён в корзине"
"* Required Fields","* обязательные поля"
"Add New Address","Добавить новый адрес"
"Add New Condition","Добавить условие продажи"
"Add product to shopping cart","Добавить товар в корзину"
"Add product(s) to shopping cart","Добавить товары в корзину"
"Add to Cart","в корзину"
"Add to Compare","сравнить"
"Add to Wishlist","запомнить"
"Address","Улица, дом, квартира"
"Address %s of %s","Адрес %s из %s"
"After Adding a Product Redirect to Shopping Cart","Перейти в корзину после добавления товара"
"Allow Guest Checkout","Разрешить гостям оформление заказов"
"Already registered?","Уже покупали у нас что-то?"
"Already registered? Click here to login","Уже покупали у нас что-то?"
"An error occurred in the process of payment","Ошибка во время процесса оплаты"
"An error occurred while deleting this condition.","При удалении условия продажи произошёл сбой."
"An error occurred while saving this condition.","При сохранении условия продажи произошёл сбой."
"Apply","применить"
"Apply Coupon","использовать промокод"
"Are you sure you would like to remove this item from the shopping cart?","Вы действительно хотите удалить этот товар из корзины?"
"Back","Вернуться"
"Back to Billing Information","Вернуться к информации о плательщике"
"Back to Select Addresses","Вернуться к выбору адресов"
"Back to Shipping Information","Вернуться к информации о доставке"
"Back to Shopping Cart","Вернуться в корзину"
"Based on your selection, you may be interested in the following items:","другие интересные товары:"
"Billing Address","Плательщик"
"Billing Information","Плательщик"
"Billing Information - %s","Информация о плательщике «%s»"
"Cancel Coupon","убрать промокод"
"Cannot add item to the shopping cart.","Невозможно добавить товар в корзину."
"Cannot add the item to shopping cart","Невозможно добавить товар в корзину"
"Cannot add the item to shopping cart.","Невозможно добавить товар в корзину."
"Cannot apply the coupon code.","К сожалению, при использовании промокода произошёл сбой. Если Вы хотите использовапть промокод — подалуйста, оформите заказ по телефону."
"Cannot configure product.","Невозможно настроить товар."
"Cannot open the overview page","Невозможно открыть страницу описания"
"Cannot process the item.","Невозможно обработать позицию."
"Cannot remove the item.","Невозможно удалить позицию."
"Cannot update shopping cart.","Невозможно пересчитать корзину."
"Cannot update the item.","Невозможно обновить позицию."
"Card Verification Number Visual Reference","Код проверки подлинности карты"
"Cart","Корзина"
"Cart Product Api","<текст не используется в системе>"
"Cart Subtotal","Стоимость"
"Cart Subtotal:",""
"Order Total","Итого"
"Change","изменить"
"Change Billing Address","Изменить платёжные реквизиты"
"Checkbox Text","Текст для галочки"
"Checkout","Оформить заказ"
"Checkout Conditions","Условия продажи"
"Checkout Method","Представление"
"Checkout Options","Параметры оформления заказа"
"Checkout Progress Wrapper","Wrapper. Стадия оформления"
"Checkout Section","Раздел заказа"
"Checkout Terms and Conditions","Условия продажи"
"Checkout as Guest","оформить заказ без регистрации"
"Checkout as a Guest or Register","Впервые в нашем магазине?"
"Checkout with Multiple Addresses","несколько получателей заказа?"
"City","Город"
"Clear Shopping Cart","Опустошить"
"Click <a href=""%s"" onclick=""this.target='_blank'"">here to print</a> a copy of your order confirmation.","<a href=""%s"" onclick=""this.target='_blank'"">распечатать подтверждение заказа</a>."
"Click <a href=""%s"">here</a> to continue shopping.","<a href=""%s"">вернуться в каталог товаров</a>"
"Close","Закрыть"
"Company","Организация"
"Condition Name","Название условия"
"Configurable Product Image","Изображение настраиваемого товара"
"Configure Cart Item","Настроить позицию в корзине"
"Confirm Password","Пароль повторно"
"Content","Содержимое"
