"Collected Files Count","Обработано файлов"
"Compilation","Компиляция"
"Compilation State","Компиляция готова?"
"Compilation error","Ошибка компиляции"
"Compiled","да"
"Compiled Scopes Count","Собрано пакетов"
"Compiler Status","Компиляция включена?"
"Compiler include path is disabled.","Компиляция отключена."
"Compiler include path is enabled.","Компиляция включена."
"Directory ""%s"" must be writeable","Папка «%s» должна быть доступна для записи"
"Disable","Отключить"
"Disabled","нет"
"Enable","Включить"
"Enabled","да"
"File ""%s"" must be writeable","Файл «%s» должен быть доступен для записи"
"Not Compiled","нет"
"Run Compilation Process","подготовить компиляцию"
"Scopes Compilation Settings","Содержимое пакетов"
"System","Система"
"The compilation has completed.","Компиляция завершена."
"Tools","Инструменты"
