"-- Please Select --","-- выберите --"
"Add to Cart","Купить"
"Choose an Option...","Выберите вариант..."
"Configurable Swatches","Образцы"
"Enabled","Включен"
"General Settings","Основные настройки"
"Height","Высота"
"In Stock","В наличии"
"Innermost dimensions, not including border, in pixels","в пикселях"
"Out of Stock","Отсутствует"
"Previous","Предыдущий"
"Product Attribute to Use for Swatches in Product Listing","Свойство, значения которого станут образцами для списка товаров на витрине"
"Product Attributes to Show as Swatches in Product Detail","Свойство, значения которого станут образцами для товарной карточки на витрине"
"Remove This Item","Удалить"
"Swatch Dimensions in Layered Navigation","Размеры образцов в блоке пошаговой фильтрации"
"Swatch Dimensions in Product Listing","Размеры образцов в списке товаров на витрине"
"Swatch Dimensions on Product Detail Page","Размеры образцов на странице товара"
"Width","Ширина"
