"1.5.0.0 & later","1.5.0.0 и после"
"Action","Действие"
"Add Author","Добавить автора"
"Add Contents Path","Добавить путь к содержимому"
"Add PHP Extension dependency","Добавить зависимость от расширений PHP"
"Add Package dependency","Добавить зависимость от пакетов"
"Add files","Добавить файлы"
"Authors","Авторы"
"Channel","Канал"
"Contents","Содержание"
"Create Extension Package","Создать пакет расширений"
"Dependencies","Зависимости"
"Description","Описание"
"Edit Extension","Настройка расширения"
"Email","Email"
"Extension","Расширение"
"Extensions","Расширения"
"Failed to create the package.","Не удалось создать пакет."
"Failed to load the package data.","Не удалось загрузить данные пакета."
"Failed to save the package.","Не удалось сохранить пакет."
"Files","Файлы"
"Folder","Папка"
"Ignore","Игнорировать"
"Include","Включить"
"License","Лицензия"
"License URI","Ссылка на лицензию"
"Load Local Package","Загрузить локальный пакет"
"Load local Package","Загрузить локальный пакет"
"Magento Connect","Magento Connect"
"Magento Connect Manager","Установка и удаление модулей"
"Max","Максимум"
"Maximum","Максимум"
"Min","Минимум"
"Minimum","Минимум"
"Name","Имя"
"New Extension","Новое расширение"
"PHP Version","Версия PHP"
"Package","Пакет"
"Package Extensions","Опубликовать свой модуль (для программистов)"
"Package File Name","Название файла пакета"
"Package Info","Параметры пакета"
"Packages","Пакеты"
"Path","Путь"
"Pre-1.5.0.0","до 1.5.0.0"
"Release Info","Параметры версии"
"Remove","Удалить"
"Save As...","сохранить как..."
"Save Data and Create Package","сохранить данные и создать пакет"
"Save package with custom package file name","сохранить пакет с другим именем файла"
"Summary","Краткое описание"
"Supported releases","Поддерживаемые выпуски"
"System","Система"
"Target","Цель"
"The package %s data has been loaded.","Загружены данные пакета %s."
"The package data has been saved.","Данные пакета сохранены."
"There was a problem saving package data","Ошибка при сохранении данных пакета"
"Type","Тип"
"User","Системное имя"
