"* Required Fields","* обязательные поля"
"Comment","Комментарий"
"Contact Form","Форма обратной связи"
"Contact Form Email Sender","Адрес электронной почты, c которого система будет отправлять сообщения посетителей, отправленные через форму обратной связи"
"Contact Information","Напишите нам письмо"
"Contact Us","Обратная связь"
"Contact Us Form","Форма обратной связи"
"Contacts","Контакты"
"Contacts Section","Раздел контакты"
"Email","Адрес электронной почты"
"Email Options","Параметры электронной почты"
"Email Sender","От чьего лица должны отсылаться письма?"
"Email Template","Шаблон письма"
"Enable Contact Us","Включить форму обратной связи"
"Name","Имя"
"Send Emails To","Адрес электронной почты, на который система будет отправлять сообщения посетителей, отправленные через форму обратной связи"
"Submit","Отправить"
"Telephone","Телефон"
"Unable to submit your request. Please, try again later","Невозможно отправить Ваш запрос. Пожалуйста, повторите попытку позже"
"Your inquiry was submitted and will be responded to as soon as possible. Thank you for contacting us.","Ваше сообщение получено и мы ответим на него в ближайшее время. Спасибо за сообщение."
