"%s","%s"
"%s already exist.","Некий модуль пытается добавить в базу данных объекты типов «%s», однако система отказывается добавлять эти объекты, потому что в базе данных уже присутствуют другие объекты с теми же идентификационными данными, что у добавляемых.<br/>Обратитесь к разработчику модуля. Определить сбойный модуль можно, как правило, из контекста выполняемой операции."
"%s already exists.","Некий модуль пытается добавить в базу данных объект типа «%s», однако система отказывается добавлять это объект, потому что в базе данных уже присутствует другой объект с теми же идентификационными данными, что у добавляемого.<br/>Обратитесь к разработчику модуля. Определить сбойный модуль можно, как правило, из контекста выполняемой операции."
"-- Please Select --","-- выберите значение --"
"<strong style=""color:red"">Warning!</strong> When using CDN, in some cases JavaScript may not run properly if CDN is not in your subdomain","<strong style=""color:red"">Внимание!</strong> При использовании CDN, в некоторых случаях JavaScript может работать некорректно, если CDN расположен не на поддомене магазина"
"<strong style=""color:red"">Warning!</strong> When using Store Code in URLs, in some cases system may not work properly if URLs without Store Codes are specified in the third party services (e.g. PayPal etc.).","Если Вы укажете значение «да», то не забудьте перенастроить те ранее настроенные сторонние приложения, которые обращаются к Вашему интернет-магазину по веб-адресу (в частности, платёжные шлюзы и учётные системы типа 1C:Торговлей)."
"A category object is required for determining the product request path.","Для определения адреса товара требуется объект раздела."
"Add Block Names to Hints","Добавлять названия блоков к подсказкам"
"Add Secret Key To Url","Проверять ли ключ сессии для витринных запросов к серверу?"
"Add Secret Key to URLs","Добавлять к адресам страниц ключ сессии?"
"Add Store Code to Urls","Добавлять ли к адресам страниц системное имя магазина?"
"Add to Cart","купить"
"Admin","Интерфейс администратора"
"Admin Base URL","Веб-адрес интерфейса администратора"
"Admin User Emails","Восстановление доступа к административному интерфейсу по электронной почте"
"Advanced","Настройки повышенной сложности"
"After selecting a new media storage location, press the Synchronize button
                                to transfer all media to that location. Media will not be available in the new
                                location until the synchronization process is complete.","После смены способа хранения картинок нажмите кнопку «Сверить» для переноса картинок в выбранное место.<br/>Картинки не будут доступны из нового хранилища до полного окончания сверки."
"Allow Countries","Доступные для выбора страны"
"Allowed IPs (comma separated)","Разрешённые IP адреса (через запятую)"
"Allowed file types: ICO, PNG, GIF, JPEG, APNG, SVG. Not all browsers support all these formats!","Допустимые типы файлов: ICO, PNG, GIF, JPEG, SVG."
"Allows customers to stay logged in when switching between different stores.","Позволяет покупателям переключаться между магазинами, оставаться авторизованными."
"Alternative text for next link in pagination menu. If empty, default arrow image will used.","Если данное поле оставить пустым, то система будет использовать для ссылки «вперёд» изображение стрелки."
"Alternative text for previous link in pagination menu. If empty, default arrow image will used.","Если данное поле оставить пустым, то система будет использовать для ссылки «назад» изображение стрелки."
"An error occurred while saving. Please review the error log.","При сохранении настроек сайта / магазина / витрины произошёл сбой. Диагностическая информация сбоя может содержаться в журнале сбоев."
"Anchor Text for Next","Текст для ссылки «вперёд»"
"Anchor Text for Previous","Текст для ссылки «назад»"
"Anchor symbol (#) is not supported in request path","Символ якоря (#) в адресе указывать нельзя"
"Anchor symbol (#) is not supported in url rewrite suffix","Символ якоря (#) в адресе указывать нельзя"
"Are you sure?","Вы уверены?"
"Auto-redirect to Base URL","Перенаправлять ли посетителя на главную страницу магазина, если адрес текущей страницы не содержит в себе базового адреса магазина?"
"I.e. redirect from http://example.com/store/ to http://www.example.com/store/","например, когда адрес текущей страницы содержит «www», в то время как базовый адрес не содержит «www»"
"Back","вернуться"
"Backup Options","Параметры архивной копии"
"Base JavaScript URL","Общая часть веб-адресов корневой папки «js»"
"Base Link URL","Общая часть веб-адресов системы, обрабатываемых интерпретатором PHP"
"Base Media URL","Общая часть веб-адресов корневой папки «media»"
"Base Skin URL","Общая часть веб-адресов корневой папки «skin»"
"Base URL","Общая часть веб-адресов системы"
"Before modifying the store view code please make sure that it is not used in index.php.","Перед изменением системного имени витрины убедитесь, что он не используется в корневом файле index.php."
"Before modifying the website code please make sure that it is not used in index.php.","Перед изменением системного имени сайта убедитесь, что он не используется в корневом файле index.php."
"Billing Agreements","Профили PayPal"
"Block with name ""%s"" already exists","Блок с названием «%s» уже существует"
"Blocks HTML output","Экранные блоки"
"Browser Capabilities Detection","Определение возможностей браузера"
"CSS Settings","Настройки CSS"
"Cache Storage Management","Кэширование"
"Cache storage may contain additional data. Are you sure that you want flush it?","Система зачем-то запрашивает это подтверждение, но удаляйте смело!"
"Can't retrieve request object","Невозможно получить объект запроса"
"Cancel","отменить"
"Cannot complete this operation from non-admin area.","Система разрешает выполнять это действие только из административного интерфейса."
"Cannot retrieve entity config: %s","<текст не используется в системе> (%s)"
"Card type does not match credit card number.","Номер банковской карты не соответствует указанному вами типу карты. Такое могло случиться, например, если Вы указали в качестве типа карты «Visa», а номер — от карты «MasterCard»."
"Choose Store View:","область действия настроек:"
"Close","Закрыть"
"CMS tab","Дополнительно"
"Code","Системное имя"
"Collections Data","Выборки однотипных объектов"
"Collection data files.","Кэширует выборки однотипных объектов (коллекции)"
"Configuration","Настроечные файлы (xml)"
"Continue","Продолжить покупки"
"Controller file was loaded but class does not exist","Файл контроллера был загружен, но класс не существует"
"Cookie Domain","Домен для кук"
"Cookie Lifetime","Время жизни кук"
"Cookie Path","Путь к кукам"
"Copyright","Авторские права"
"Countries Options","Страны"
"Country","Страна"
"Create Store","Создать магазин"
"Create Store View","Создать витрину"
"Create Website","Создать сайт"
"Credit card number does not match credit card type.","Номер банковской карты не соответствует указанному вами типу карты. Такое могло случиться, например, если Вы указали в качестве типа карты «Visa», а номер — от карты «MasterCard»."
"CSRF protection","Защита от межсайтовой подделки запроса (CSRF)"
"Current Package Name","Пакет"
"Custom Admin URL","Нестандартный веб-адрес интерфейса администратора"
"Custom Design","Тема"
"Custom Email 1","Дополнительный адрес №1"
"Custom Email 2","Дополнительный адрес №2"
"Custom Variables","Настраиваемые переменные"
"Customer Reviews","Отзывы покупателей"
"Customer Support","Служба поддержки"
"Dashboard","Сводка"
"Date From","Вступление в силу"
"Date To","Утрата силы"
"Date/time format ""%s"" is not supported.","Не поддерживается формат Date/time «%s»."
"Debug","Устранение неполадок (debug)"
"Description","Описание"
"Default","По умолчанию"
"Default Country","Основная страна покупателей"
"Default Description","Описание по умолчанию"
"Default Keywords","Ключевые слова по умолчанию"
"Default No-route URL","Внутренний адрес, который система будет использовать в том случае, когда запрашиваемая посетителем страница витрины отсутствует"
"Default Pages","Важные для системы страницы"
"Default Robots","Роботы по умолчанию"
"Default Store","Магазин по умолчанию"
"Default Store View","Основная витрина"
"Default Title","Заголовок по умолчанию"
"Default Theme","Основная тема"
"Default Web URL","Внутренний адрес главной страницы витрины"
"Delete","Удалить"
"Delete Store","Удалить магазин"
"Delete Store View","Удалить витрину"
"Delete Website","Удалить сайт"
"Deleting a %1$s will not delete the information associated with the %1$s (e.g. categories, products, etc.), but the %1$s will not be able to be restored. It is suggested that you create a database backup before deleting the %1$s.","Удаление %1$s не удалит информацию, связанную с %1$s (разделы, товары и т.д.), но в дальнейшем %1$s восстановить будет невозможно. Предполагается, что Вы создали резервную копию БД перед удалением %1$s."
"Design","Оформление"
"Design Change","Правило оформления"
"Developer","Для разработчика"
"Developer Client Restrictions","Ограничения доступа разработчика (считать посетителя разработчиком, только если...)"
"Disable Email Communications","Отключить?"
"Disable Modules Output","Отключение вывода модулей"
"Display Demo Store Notice","Уведомлять ли посетителей о том, что магазин — не рабочий, а демонстрационный?"
"Display not required State","Отображать ли поле «Область», если оно необязательно для заполнения?"
"Duplicate Of Template Name","Дубликат названия шаблона"
"EAV types and attributes","Параметры EAV"
"Edit Design Change","Правило оформления"
"Edit Store","Настройка магазина"
"Edit Store View","Настройка витрины"
"Edit Website","Настройка сайта"
"Empty identifier field name","Укажите системное имя"
"Empty main table name","Пустое название основной таблицы"
"Enable Charts","Включить графики"
"Enable Prototype Deprecation Log","Вести ли системный журнал вызовов устаревших функций библиотеки JavaScript Prototype?"
"Enabled","Включено"
"Enabled for Admin","Включить для интерфейса администратора"
"Enabled for Frontend","Включить для витрины"
"Entity types declaration cache.","Кэширует информацию EAV из базы данных"
"Environment Update Time","Периодичность (в секундах) синхронизации магазина и внешнего хранилища.<br/><em>В Magento Community Editon версии 1.6.1.0 и более ранних этот параметр ещё не используется.</em>"
"Error in file: ""%s"" - %s","Ошибка в файле «%s»: «%s»"
"Error: Passwords do not match","Ошибка: Пароли не совпадают"
"Example format: 200x300.","Укажите размеры в виде двух натуральных чисел, разделив их буквой «x» латинского алфавита. Пример: «200x300». Кавычки писать не надо."
"Exceptions Log File Name","Имя файла журнала сбоев"
"European Union Countries","Страны Евросоюза"
"Favicon Icon","Значок-эмблема сайта для браузеров (favicon)"
"File %s does not exist","Файл не существует: %s"
"File %s is not readable","Не читаемый файл: %s"
"File system","Файловая система"
"First Day of Week","Первый день недели"
"Flush Cache Storage","удалить весь кэш (Magento и другой)"
"Flush Magento Cache","удалить весь кэш Magento"
"For Windows server only.","Значение этой опции учитывается только в среде <b>Windows</b>.<br/>В среде Unix-подобных операционных систем этот параметр настраивается вне Magento."
"Footer","Подвал витринной страницы"
"Forgot Password Email Sender","Отправитель"
"Forgot Password Email Template","Шаблон"
"General","Общие"
"General Contact","Основной адрес"
"General Settings","Общие настройки"
"Global","всеобщая"
"Go","найти!"
"HTML Head","Общие настройки страниц"
"Header","Шапка витринной страницы"
"Host","Сервер"
"How many links to display at once.",""
"ID Path for Specified Store","Уникальный код адреса страницы для текущего магазина"
"If present, this will be included in all Transactional Emails","будет присутствовать в письмах покупателю"
"If the current frame position does not cover utmost pages, will render link to current position plus/minus this value.","Если данное поле оставить незаполненным, то система будет использовать стандартное значение: 5 страниц."
"Incorrect credit card expiration date.","Укажите правильные месяц и год истечения срока действия Вашей банковской карты. Убедитесь также, что срок действия Вашей банковской карты ещё не истёк."
"Invalid base url type","Недействительный тип базового URL"
"Invalid block name to set child %s: %s","Система не может поставить блок «%s» внутрь блока «%s», потому что внешний блок отсутствует в системе."
"Invalid block type: %s","Система не нашла блочный класс «%s»."
"Invalid block: %s","Система не нашла блок «%s»."
"Invalid layout update handle","Недействительный обработчик обновления макета (layout update)"
"Invalid messages storage ""%s"" for layout messages initialization","Недействительное хранилище сообщений «%s» для инициализации сообщений макета"
"Invalid transactional email code: ","Недействительный код письма-оповещения:"
"Invalid website\'s configuration path: %s","Недействительный путь настроек веб-сайта: %s"
"JavaScript Settings","Настройки JavaScript"
"Layout","Макет"
"Layout Folder","Нестандартная папка макетов"
"Layouts","Макеты"
"Layout building instructions.","Кэширует макетные правила"
"Leave empty for access from any location.","Оставьте пустым для доступа из любого места."
"Locale","Язык"
"Locale Options","Региональные настройки"
"Log In","Войти"
"Log Out","Выйти"
"Log Settings","Системный журнал"
"Logging from Mage::log(). File is located in {{base_dir}}/var/log","Файл расположен в папке {{base_dir}}/var/log"
"Logging from Mage::logException(). File is located in {{base_dir}}/var/log","Файл расположен в папке {{base_dir}}/var/log"
"Login is Case Sensitive","Различать ли прописные и строчные буквы в системном имени администратора?"
"Logo Image Alt","Альтернативный текст для логотипа"
"Logo Image Src","Логотип"
"Small Logo Image Src","Логотип для маленьких экранов"
"Magento Admin","Административная часть"
"Mail Sending Settings","Почта"
"Make sure that base URL ends with '/' (slash), e.g. http://yourdomain/magento/","Убедитесь, что значение заканчивается на '/' (косую черту). Например «http://example.ru/magento/»"
"Manage Stores","Магазины"
"Match expressions in the same order as displayed in the configuration.","Исключения применяются в заданном Вами порядке, сверху вниз.<br/>Для каждого исключения в графе «браузеры» укажите регулярное выражение, которому должен отвечать заголовок HTTP <a href='https://ru.wikipedia.org/wiki/User_Agent'>User-Agent</a> тех браузеров, к которым относится исключение.<br>Например: «iPhone|iPod|BlackBerry|Palm|Googlebot-Mobile|Mobile|mobile|mobi|Windows Mobile|Safari Mobile|Android|Opera Mini»."
"Maximum length exceeded.","Превышена максимальная длина."
"Media Storage","Способ хранения"
"Merge CSS Files","Объединить файлы CSS"
"Merge JavaScript Files","Объединить файлы JavaScript"
"Miscellaneous HTML","Различный HTML"
"Miscellaneous Scripts","Разнообразные скрипты"
"Model class does not exist: %s.","Модель класса не существует: %s."
