"Currency","Валюта"
"Mage_Currencysymbol::Currency","Валюта"
"Currency Rates","Курсы"
"Custom currency symbols were applied successfully.","Обозначения валют сохранены."
"Manage Currency","Валюты"
"Manage Currency Rates","Валютные курсы"
"Manage Currency Symbols","Обозначения валют"
"Rates","Валютные курсы"
"Save Currency Symbols","утвердить обозначения валют"
"Symbol","Обозначение"
"Symbols","Обозначения"
"System","Система"
"Use Default","Use Default"
"Use Standard","стандартное"
"Use Website","Use Website"
