"""%s"" contains not only digit characters.","«%s» содержит не только цифровые символы."
"""%s"" does not fit the entered date format.","«%s» не подходит для введённого формата даты."
"""%s"" exceeds the allowed file size.","«%s» превышает разрешённый размер файла."
"""%s"" exceeds the allowed length.","«%s» превышает разрешённую длину."
"""%s"" has not only alphabetic and digit characters.","«%s» содержит не только буквы и цифры."
"""%s"" has not only alphabetic characters.","«%s» содержит не только буквы."
"""%s"" height exceeds allowed value of %s px.","«%s» высота превышает разрешённое значение в %s px."
"""%s"" invalid type entered.","«%s» введён неверный тип."
"""%s"" is a required value.","«%s» — это обязательное значение."
"""%s"" is an empty string.","«%s» является пустой строкой."
"""%s"" is not a valid URL.","«%s» — неправильный URL."
"""%s"" is not a valid date.","«%s» — неправильная дата."
"""%s"" is not a valid email address.","«%s» — неправильный адрес электронной почты."
"""%s"" is not a valid file","«%s» — неправильный файл"
"""%s"" is not a valid file extension.","«%s» не правильное расширение."
"""%s"" is not a valid file.","«%s» — неправильный файл."
"""%s"" is not a valid hostname.","«%s» — недопустимое имя сервера."
"""%s"" is not a valid image format","«%s» — неправильный формат изображения"
"""%s"" length must be equal to or greater than %s characters.","«%s» длина должна быть равна или больше чем %s символов."
"""%s"" length must be less than or equal to %s characters.","«%s» длина должна быть меньше или равна %s символам."
"""%s"" width exceeds allowed value of %s px.","«%s» ширина превышает разрешённое значение в %s px."
"* Required Fields","* обязательные поля"
"A new password has been sent.","Новый пароль был отправлен."
"ALL GROUPS","Все категории"
"Account","Кабинет"
"Account Dashboard","Сводка"
"Account Information","Учётная запись"
"Account Sharing Options","Область учёта покупателей"
"Account confirmation is required. Please, check your e-mail for confirmation link. To resend confirmation email please <a href=""%s"">click here</a>.","Требуется подтверждение учётной записи. Ссылка для подтверждения была выслана на указанный адрес электронной почты. Чтобы выслать ссылку повторно нажмите <a href=""%s"">сюда</a>."
"Account confirmation is required. Please, check your email for the confirmation link. To resend the confirmation email please <a href=""%s"">click here</a>.","Требуется подтверждение учётной записи. Ссылка для подтверждения была выслана на указанный адрес электронной почты. Чтобы выслать ссылку повторно нажмите <a href=""%s"">сюда</a>."
"Action","действие"
"Associate to Website","Прикрепить к сайту"
"Add New Address","Новый адрес"
"Add New Customer","добавить покупателя"
"Add New Customer Group","новая категория..."
"Added From","Добавлено из"
"Additional Address Entries","Дополнительные адреса"
"Address","Адрес"
"Address Book","Адреса"
"Address Books","Адресные книги"
"Address Information","Адрес"
"Address Templates","Шаблоны адресов"
"Addresses","Адреса"
"Admin","Интерфейс администратора"
"All","Все"
"All Store Views","Все витрины"
"All countries","любая"
"Always optional.","Всегда необязательно"
"Amount","Сумма"
"An error occurred while deleting the address.","При удалении адреса покупателя произошёл сбой."
"An error occurred while retrieving the option value: %s.","При импорте информации о покупателе произошёл сбой: «%s»."
"An error occurred while saving the collection, aborting. Error: %s","При сохранении импортированной информации о покупателе произошёл сбой: «%s»."
"An invalid option ID is specified for %s (%s), skipping the record.","Указан неверный идентификатор параметра %s (%s), пропуск записи."
"Approved","Одобрен"
"Are you sure that you want to remove this item?","Вы действительно хотите удалить эту позицию?"
"Are you sure you want to cancel adding of this address?","Вы действительно хотите отменить добавление этого адреса?"
"Are you sure you want to delete this address?","Вы действительно хотите удалить этот адрес?"
"Are you sure?","Вы уверены?"
"Array of Entity collections is expected.","Должен быть указан массив коллекций."
"Assign a Customer Group","Назначить покупателям категорию"
"Attribute object is undefined","Объект свойств не определён"
"Average Sale","Средние продажи"
"Back","вернуться на шаг назад"
