"Add New Row","Добавить новую строку"
"Alphanumeric, dash and underscore characters are recommended for filenames. Improper characters are replaced with \'_\'.","Для имён файлов рекомендуются цифры, буквы, тире и подчёркивания. Неподходящие символы будут заменены на \'_\'."
"An error occurred while getting requested content. Please contact the store owner.","При загрузке файла произошёл сбой. Сообщите о нём администратору магазина."
"An error occurred while getting the requested content.",""При загрузке файла произошёл сбой."
"An error occurred while getting the requested content. Please contact the store owner.","При загрузке файла произошёл сбой. Сообщите о нём администратору магазина."
"An error occurred while saving the file(s).","При сохранении файла произошёл сбой."
"Availability:","Доступность:"
"Back","Вернуться"
"Canceled","Отменено"
"Cannot connect to remote host, error: %s.","Невозможно подключиться к удалённому домену. Ошибка : %s."
"Catalog Product View (Downloadable)","Catalog Product View (Downloadable)"
"Customer My Account Downloadable Items","Customer My Account Downloadable Items"
"Date","Дата"
"Default Link Title","Стандартный заголовок блока ссылок для скачивания"
"Default Maximum Number of Downloads","Максимальное количество скачиваний на одну елдиницу купленного товара"
"Default Sample Title","Стандартный заголовок блока демо-образцов"
"Disable Guest Checkout if Cart Contains Downloadable Items","Принуждать ли покупателя к регистрации, если в корзине присутствуют скачиваемые товары?"
"Downloadable Information","Скачиваемая информация"
"Downloadable Product","Скачиваемый товар"
"Downloadable Product Options","Скачиваемые товары"
"Downloadable product Section","Скачиваемые товары"
"Edit","Редактировать"
"Edit item parameters","Настроить"
"Excl. Tax","без налогов"
"File","Файл"
"From:","От:"
"Gift Message","Поздравительное сообщение"
"Go to <a href=""%s"">My Downloadable Products</a>","<a href=""%s"">файлы</a>"
"Guest checkout will only work with shareable.","Как было указано выше (смотрите комментарий к опции  «Разрешать анонимное скачивание, без авторизации в магазине?»), если покупатель купит скачиваемый товар без регистрации, то он будет в состоянии его скачать, только если для товара или в целом для системы включена опция «Разрешать анонимное скачивание, без авторизации в магазине?»"
"In stock","в наличии"
"Incl. Tax","с налогами"
"Invalid download URL host.","Неверный домен ссылки для скачивания."
"Invalid download URL scheme.","Неверный протокол ссылки для скачивания."
"Invalid download link type.","Неправильный тип ссылки для скачивания."
"Invoiced","Оплачено"
"Links can be purchased separately","Ссылки могут быть приобретены отдельно"
"Max. Downloads","Макс. скачиваний"
"Message:","Сообщение:"
"Move to Wishlist","Отложить в план покупок"
"My Downloadable Products","Файлы"
"Open Links in New Window","Открывать ли отдельное окно для скачивания ссылок?"
"Order #","Заказ #"
"Order Item Status to Enable Downloads","При каком состоянии позиции заказа разрешать скачивать товар?"
"Ordered","заказано"
"Out of stock","Нет в наличии"
"Pending","В очереди"
"Please log in to download your product.","Войдите, чтобы скачать Ваш товар."
"Please set resource file and link type.","Укажите расположение файла и тип ссылки."
"Please specify product link(s).","Укажите ссылку(и) на товар."
"Price","Цена"
"Qty","Количество"
"Refunded","Возвращено"
"Remaining Downloads","Осталось скачиваний"
"Remove Item","Удалить позицию"
"Requested link does not exist.","Запрошенная ссылка не существует."
"Sample","Демо-образец"
"Shareable","Разрешать анонимное скачивание, без авторизации в магазине?"
"Shipped","Доставлено"
"Sort Order","порядок"
"Start Download","Начать скачивание"
"Status","Состояние"
"The file does not exist.","Файл не существует."
"The link has expired.","Ссылка больше не действительна."
"The link is not available.","Ссылка не доступна."
"Title","Заголовок"
"To:","Кому:"
"U","U"
"Unlimited","Неограниченно"
"Use Content-Disposition","Какой заголовок Content-Disposition отсылать браузеру?"
"View Order","Смотреть заказ"
"What's this?","что это?"
"You have not purchased any downloadable products yet.","В этом разделе Вы сможете скачивать приобретённые Вами цифровые товары (файлы)."
"attachment","attachment"
"download","скачать"
"inline","inline"
"sample","демо-образец"
