"(Make sure you keep it in a safe place.)","(Ключ является серкретной ифнормацией, не показывайте его другим.)"
"(Optional. Leave blank for no prefix)","Указывать приставку имеет смысл, если Вы по каким-то причинам не можете/не хотите выделять для Magento отдельную базу данных: в этом случае использование приставки позволяет избежать конфликтов имён таблиц Magento с другими таблицами"
"(ver. %s)","(версия %s)"
"Additional path added after Base URL to access your Administrative Panel (e.g. admin, backend, control etc.).","Путь к интерфейсу администратора относительно базового веб-адреса магазина. Например: («admin», «backend», «control»)."
"Admin Path","путь к интерфейсу администратора"
"After successfull installation please click the button below.","После успешной установки нажмите на кнопку ниже."
"All packages were installed, click 'OK' to continue with installation.","Все пакеты были установлены успешно, нажмите кнопку 'ок', чтобы продолжить установку."
"Alternatively you could try the 'Manual Downloads and Upgrades' method.","В качестве альтернативы, Вы можете попробовать самостоятельно скачать и установить обновления."
"Base URL","веб-адрес магазина"
"Before you continue to your store, please make a note of your encryption key (Magento uses it to encrypt passwords, credit cards and more).","Magento будет использовать для шифрования указанный на этом экране шифровальный ключ. Запоминать его необязательно: Вы всегда можете посмотреть его в файле app/etc/local.xml (хотя вряд ли Вам это когда-либо понадобится)."
"Check out our",""
"Check this box only if it is not possible to automatically validate Secure URL, for example if HTTP authentication is required.","Устанавливать эту галку имеет смысл только в тех редких ситуациях, когда на момент установки защищённый веб-адрес магазина ещё не существует или недоступен для установщика (например, требует авторизации от веб-сервера по протоколу HTTP)"
"Check this box only if it is not possible to automatically validate the Base URL.","Устанавливать эту галку имеет смысл только в тех редких ситуациях, когда на момент установки веб-адрес магазина ещё не существует или недоступен для установщика (например, требует авторизации от веб-сервера по протоколу HTTP)"
"Choose this if you would like to test frontend and backend functionality.","Бета-версия модулей предназначена, в основном, для предварительных испытаний."
"Configuration","Другие настройки"
"Confirm Password","Пароль повторно"
"Connection","Подключение"
"Continue","дальше"
"Continue After Manual Download","Продолжение после ручного скачивания"
"Continue Full Download / SVN Installation","Продолжить полную / SVN установку"
"Create Admin Account","Анкета администратора"
"Currently this is the most stable state available for Magento packages.","В настоящий момент это наиболее стабильные версии доступных пакетов Magento"
"Database","база данных"
"Database Connection","База данных"
"Database Name","имя базы данных"
"Database Name cannot be empty.","Укажите имя базы данных."
"Database Type","тип базы данных"
"Database connection error.","Ошибка соединения с базой данных."
"Database host","сервер базы данных"
"Database server does not support the InnoDB storage engine.","Сервер базы данных не поддерживает InnoDB."
"Database user name","Имя пользователя базы данных"
"Database user password","Пароль к базе данных"
"Default Currency","учётная валюта"
"Download","Записать файлы на сервер"
"Download Magento Core Modules and Updates","Скачать основные модули Magento и их обновления"
"Downloading and installing Magento, please wait...","Скачивание и установка Magento. Пожалуйста, подождите..."
"Email","Адрес электронной почты"
"Email Address","Адрес электронной почты"
