" Copy"," Копировать"
"Action","Действие"
"Add New Template","Добавить новый шаблон"
"Add to Queue","Добавить в очередь"
"Allow Guest Subscription","Разрешить подписываться гостям"
"An error occurred while saving your subscription.","При сохранении новостной подписки произошёл сбой."
"Are you sure that you want to delete this template?","Вы действительно хотите удалить этот шаблон?"
"Are you sure that you want to strip all tags?","Удалить все теги разметки HTML?"
"Back","Вернуться"
"By subscribing to our mailing list you will always be update with the latest news.","Подпишитесь на наши новости, чтобы быть в курсе распродаж!"
"Cancel","отменить"
"Cancelled","Отменено"
"Cannot mark as received subscriber.","Невозможно отметить как подписанного пользователя."
"Confirmation Email Sender","Отправитель"
"Confirmation Email Template","Шаблон"
"Confirmation request has been sent.","Запрос на подтверждение был отправлен."
"Convert to Plain Text","Преобразовать в обычный текст"
"Create Newsletter Template","Создать шаблон письма"
"Customer","Покупатель"
"Customer First Name","Имя покупателя"
"Customer Last Name","Фамилия покупателя"
"Customer My Account Newsletter Subscriptions","Учётная запись покупателя. Подписка на рассылку"
"Date Added","Дата добавления"
"Date Updated","Дата обновления"
"Delete","Удалить"
"Delete Selected Problems","Удалить выбранные проблемы"
"Delete Template","Удалить шаблон"
"Don't show this popup again","больше не показывать"
"Do you really want to cancel the queue?","Вы действительно хотите отменить очередь?"
"Duplicate template code.","Копия кода шаблона."
"Edit Newsletter","Правка письма"
"Edit Newsletter Template","Правка шаблона письма"
"Edit Queue","Настройка очередь писем"
"Edit Template","Правка шаблона"
"Email","Адрес электронной почты"
"Email Address","Адрес электронной почты"
"Enter email address","укажите Ваш e-mail"
"Enter please your email","укажите Ваш e-mail"
"Enter your email address","укажите Ваш e-mail"
"Enter your e-mail Address","укажите Ваш e-mail"
"Error Code","Код ошибки"
"Error Text","Текст ошибки"
