"An error occurred while clearing the external full page cache.","При удалении полностраничного кэша произошёл сбой."
"Cookie Lifetime (seconds)","Время жизни кук (в секундах)"
"Enable External Cache","Включить внешний кэш"
"External Cache Control","Управление внешним кэшем"
"External Full Page Cache Settings","Настройки внешнего полностраничного кэша"
"External full page cache.","Внешний полностраничный кэш."
"Failed to load external cache control","Не получилось загрузить управление внешним кэшем"
"Flush External Page Cache","Очистка внешнего хранилища кэша"
"If empty, default value will be used.","Если не указано, то будет использовано значение по умолчанию."
"The external full page cache has been cleaned.","Внешний полностраничный кэш очищен."
"Zend Full Page Cache","Полностраничный кэш Zend"
