"%s %s %s - %s. %s. %s","%s %s %s - %s. %s. %s"
"3D Secure","3D Secure"
"3D Secure Card Validation","3D Secure Card Validation"
"API Login ID","API Login ID"
"Accepted Currency","Принимаемые валюты"
"Allow Partial Authorization","Разрешить Partial Authorization"
"Are you sure you want to cancel your payment? Click OK to cancel your payment and release the amount on hold. Click Cancel to enter another credit card and continue with your payment.","Отменить оплату?"
"Authorize Only","Authorize Only"
"Authorize and Capture","Authorize and Capture"
"Authorize.Net Transaction ID %s","Authorize.Net Transaction ID %s"
"Authorize.net","Authorize.net"
"Cancel","отменить"
"Centinel Api URL","Centinel Api URL"
"Credit Card Types","Типы банковских карт"
"Credit Card Verification","Проверка банковской карты"
"Credit Card: xxxx-%s","Банковская карта: xxxx-%s"
"Debug","Отладка"
"Email Customer","Email Customer"
"Enabled","Включено"
"Error in payment gateway.","Ошибка со стороны платёжного шлюза."
"Gateway actions are locked because the gateway cannot complete one or more of the transactions. Please log in to your Authorize.Net account to manually resolve the issue(s).","Gateway actions are locked because the gateway cannot complete one or more of the transactions. Please log in to your Authorize.Net account to manually resolve the issue(s)."
"Gateway error: %s","Ошибка шлюза: %s"
"If empty, a default value will be used. Custom URL may be provided by CardinalCommerce agreement.","If empty, a default value will be used. Custom URL may be provided by CardinalCommerce agreement."
"Invalid amount for authorization.","Неверная сумма для авторизации."
"Invalid amount for capture.","Неверная сумма для снятия."
"Invalid amount for partial authorization.","Invalid amount for partial authorization."
"Invalid amount for refund.","Указанный размер возврата недопустим."
"Invalid split tenderId ID.","Invalid split tenderId ID."
"Maximum Order Total","Максимальная стоимость заказа"
"Merchant's Email","Email продавца"
"Minimum Order Total","Минимальная стоимость заказа"
"New Order Status","Состояние свежеразмещённых заказов"
"Payment Action","Режим оплаты"
"Payment authorization error.","Ошибка авторизации оплаты."
"Payment canceling error.","Ошибка отмены платежа."
"Payment capturing error.","Ошибка при снятии суммы."
"Payment from Applicable Countries","Ограничить доступность способа оплаты покупателями из конкретных стран?"
"Payment from Specific Countries","Допустимые страны покупателей"
"Payment partial authorization error.","Payment partial authorization error."
"Payment refunding error.","Payment refunding error."
"Payment voiding error.","Payment voiding error."
"Processed Amount","Processed Amount"
"Remaining Balance","Remaining Balance"
"Severe 3D Secure Card Validation","Severe 3D Secure Card Validation"
"Severe Validation Removes Chargeback Liability on Merchant","Severe Validation Removes Chargeback Liability on Merchant"
"Shopping cart contents and/or address has been changed.","Shopping cart contents and/or address has been changed."
"Sort Order","порядок"
"Test Mode","Тестовый режим"
"The amount on your credit card is insufficient to complete your purchase. The available amount has been put on hold. To complete your purchase click OK and specify additional credit card number. To cancel the purchase and release the amount on hold, click Cancel.","На Вашей банковской карте недостаточено средств для оплаты покупки. Система пока забронировала доступную на Вашей карте сумму. Для завершения покупки нажмите «OK» и укажите номер другой банковской карты: с неё будет списана оставшаяся часть платежа. Для отмены покупки и отмены брони средств на Вашей карте нажмите «Отмена»."
"There was an error canceling transactions. Please contact us or try again later.","There was an error canceling transactions. Please contact us or try again later."
"Title","Заголовок"
"Transaction Key","Ключ транзакции"
"You have reached the maximum number of credit card allowed to be used for the payment.","К сожалению, Вы превысили максимальное количество банковских карт, которое можно использовать для данного платежа."
"You have reached the maximum number of credit cards that can be used for one payment. The available amounts on all used cards were insufficient to complete payment. The payment has been cancelled and amounts on hold have been released.","К сожалению, Вы превысили максимальное количество банковских карт, которое можно использовать для одного платежа."
"Your credit card has been declined. Click OK to specify another credit card to complete your purchase. Click Cancel to release the amount on hold and select another payment method.","К сожалению, платёжная система отклонила Вашу банковскую карту. Нажмите «OK» для указания другой банковской карты. Нажмите «Отмена» для выбора другого способа оплаты."
"Your order has not been placed, because contents of the shopping cart and/or address has been changed. Authorized amounts from your previous payment that were left pending are now released. Please go through the checkout process for your recent cart contents.","Your order has not been placed, because contents of the shopping cart and/or address has been changed. Authorized amounts from your previous payment that were left pending are now released. Please go through the checkout process for your recent cart contents."
"Your payment has been cancelled. All authorized amounts have been released.","Your payment has been cancelled. All authorized amounts have been released."
"amount %s","сумма %s"
"authorize","authorize"
"authorize and capture","authorize and capture"
"capture","capture"
"failed","failed"
"refund","refund"
"successful","successful"
"void","void"
