"-OR-","-ИЛИ-"
"2-pixel perimeter around the header space.","2-pixel perimeter around the header space."
"3D Secure","3D Secure"
"3D Secure Card Validation","3D Secure Card Validation"
"3D Secure validation is required for Maestro cards. Supporting of American Express cards require additional agreement. Learn more at <a href=""http://www.paypal.com/amexupdate"">http://www.paypal.com/amexupdate</a>.","3D Secure validation is required for Maestro cards. Supporting of American Express cards require additional agreement. Learn more at <a href=""http://www.paypal.com/amexupdate"">http://www.paypal.com/amexupdate</a>."
"<a href=""http://www.magentocommerce.com/paypal"">Start accepting payments via PayPal!</a>","<a href=""http://www.magentocommerce.com/paypal"">Start accepting payments via PayPal!</a>"
"A value is required for live mode. Refer to your CardinalCommerce agreement.","A value is required for live mode. Refer to your CardinalCommerce agreement."
"Accept credit card and PayPal payments securely.","Оформление заказа будет происходить на Вашем сайте.<br/>Для оплаты заказа покупателю будет перенаправлен на сайт PayPal."
"Accept payments with a PCI compliant checkout that keeps customers on your site.","И оформление заказа, и оплата заказа будут происходить на Вашем сайте.<br/>Ваш сайт должен быть сертифицирован на соответствие стандарту<a href=""http://ru.wikipedia.org/wiki/PCI_DSS"">PCI DSS</a>."
"ACH Deposit (Hold for Dispute or Other Investigation)","ACH Deposit (Hold for Dispute or Other Investigation)"
"ACH Deposit (Reversal)","ACH Deposit (Reversal)"
"ACH Funding for Funds Recovery from Account Balance","ACH Funding for Funds Recovery from Account Balance"
"ACH Withdrawal","ACH Withdrawal"
"Add PayPal as an additional payment method to your checkout page.","Оформление заказа будет происходить на сайте PayPal."
"Advanced Settings","дополнительно"
"API Authentication Methods","Способ подтверждения подлинности пользователя прикладного программного интерфейса"
"API Certificate","Цифровой сертификат"
"API Password","Пароль"
"API Signature","Электронная подпись"
"API Username","Системное имя"
"API Uses Proxy","Использовать ли прокси-сервер при обращении к прикладному программному интерфейсу PayPal?"
"API/Integration","API/Integration"
"API/Integration Settings","Параметры доступа к прикладному программному интерфейсу PayPal"
"Ability for buyer to purchase without PayPal account.","Ability for buyer to purchase without PayPal account."
"Accept PayPal payments in your shopping cart. PayPal will process your credit card payments through the Payflow Pro Gateway.","Accept PayPal payments in your shopping cart. PayPal will process your credit card payments through the Payflow Pro Gateway."
"Accept payments without customers leaving your website. Many popular web-hosting services and shopping carts come with the Payflow payment gateways built in, so they are easy to set up.","Accept payments without customers leaving your website. Many popular web-hosting services and shopping carts come with the Payflow payment gateways built in, so they are easy to set up."
"Acceptance Mark","Acceptance Mark"
"Acceptance Mark Image","Acceptance Mark Image"
"Account-to-Account Payment, initiated by PayPal","Account-to-Account Payment, initiated by PayPal"
"Add an Express Checkout button to your existing shopping cart for quick and easy credit card payments. PayPal handles all payment processing.","Когда покупатель положил товары в корзину, система показывает ему кнопку «Express Checkout with PayPal». Если покупатель нажимает её, то система перенаправляет его на сайт PayPal, и там происходит оформление заказа."
"Add another payment method to your existing solution or as a stand-alone option.",""
"Additional Options","Дополнительные параметры"
"Address Verification System Response","Address Verification System Response"
"All the address information matched","All the address information matched"
"Allow in Billing Agreement Wizard","Разрешить при составлении соглашения с PayPal о безакцептном списании"
"Allowable values: ""paypal"", ""primary"" (default), your_custom_value (a custom payment page style from your merchant account profile).","Allowable values: ""paypal"", ""primary"" (default), your_custom_value (a custom payment page style from your merchant account profile)."
"Allowed Credit Card Types","Allowed Credit Card Types"
"Also affects mini-shopping cart.","Also affects mini-shopping cart."
"Api/Integration","Api/Integration"
"Ask Customer","Ask Customer"
"Attempted Authentication, Bad Result","Attempted Authentication, Bad Result"
"Attempted Authentication, Good Result","Attempted Authentication, Good Result"
"Auction Payment other than through eBay","Auction Payment other than through eBay"
"Authenticated, Bad Result","Authenticated, Bad Result"
"Authenticated, Good Result","Authenticated, Good Result"
"Authorization","резервировать стоимость заказа на карте покупателя"
"Authorization transaction is required to void.","Authorization transaction is required to void."
