"""Remember Me"" Default Value","""Remember Me"" Default Value"
"(Not %s?)","(или Вы не %s?)"
"* Required Fields","* Required Fields"
"Address","Адрес"
"Address Information","Address Information"
"Already registered?","Уже зарегистрированы?"
"Back","Вернуться"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more."
"Cannot load configuration from file %s.","Cannot load configuration from file %s."
"Checkout as Guest","Без регистрации"
"Checkout as a Guest or Register","Впервые в нашем магазине?"
"City","Город"
"Clear Persistence on Log Out","Clear Persistence on Log Out"
"Close","Закрыть"
"Company","Компания"
"Confirm Password","Пароль повторно"
"Continue","Продолжить"
"Country","Страна"
"Create an Account","Create an Account"
"Easy access to your order history and status","Удобный доступ к истории и состоянию Ваших заказов"
"Email Address","Адрес электронной почты"
"Enable ""Remember Me""","Enable ""Remember Me"""
"Enable Persistence","Сделать корзину долгосрочной?"
"Fast and easy check out","Быстрое оформление заказа"
"Fax","Факс"
"Forgot Your Password?","Забыли пароль?"
"Forgot your password?","Забыли пароль?"
"General Options","General Options"
"If you have an account with us, please log in.","If you have an account with us, please log in."
"Loading next step...","Идёт загрузка следующего шага..."
"Login","Войти в личный кабинет"
"Login Information","Login Information"
"Login or Create an Account","Login or Create an Account"
"New Customers","Последние покупатели"
"Password","Пароль"
"Persist Shopping Cart","Persist Shopping Cart"
"Persistence Lifetime (seconds)","Persistence Lifetime (seconds)"
"Persistent Shopping Cart","Долгосрочная корзина"
"Personal Information","Personal Information"
"Please log in below:","Вход:"
"Please select region, state or province","Выберите область (край, республику)"
"Register","Зарегистрироваться"
"Register and save time!","Register and save time!"
"Register to Create an Account","Зарегистрируйтесь для создания учётной записи"
"Register with us for future convenience:","Зарегистрируйтесь на сайте для удобства в будущем:"
"Registered Customers","Registered Customers"
"Remember Me","запомнить"
"Save in address book","сохранить в адресной книге"
"Select State/Province...","Выберите область..."
"Select a billing address from your address book or enter a new address.","Выберите адрес, который будет использоваться при создании счёта, из Вашей адресной книги или введите новый адрес."
"Ship to different address","Доставить по другому адресу"
"Ship to this address","Доставить на этот адрес"
"Sign Up for Newsletter","Sign Up for Newsletter"
"State/Province","Область, край, республика"
"Street Address","Адрес"
"Street Address %s","Адрес %s"
"Submit","Submit"
"Telephone","Телефон"
"Welcome, %s!","Welcome, %s!"
"What's this?","что это?"
"Zip/Postal Code","Почтовый индекс"
