"Alert Email Sender","Отправитель писем-оповещений"
"Alert subscription has been saved.","Подписка на оповещение сохранена."
"Allow Alert When Product Comes Back in Stock","Включить возможность подписки на появление товара в наличии?"
"Allow Alert When Product Price Changes","Включить возможность подписки на изменение цены на товар?"
"Click here not to receive alerts for this product","Нажмите сюда, чтобы не получать оповещений о данном товаре"
"Error Email Recipient","Получатель писем о сбое отправки оповещений"
"Error Email Sender","Отправитель писем о сбое отправки оповещений"
"Error Email Template","Шаблон писем о сбое отправки оповещений"
"Frequency","Периодичность"
"Not enough parameters.","Недостаточно параметров."
"Price Alert Email Template","Шаблон письма-оповещения об изменении цены на товар"
"Price:","Цена:"
"Product Alerts","Товарные оповещения"
"Product Alerts Run Settings","Расписание товарных оповещений"
"Product alerts Cron error","Оповещения для товаров. Ошибка cron"
"Product price alert","Оповещение об изменениях цены на товар"
"Product stock alert","Оповещение о количестве товара"
"Regular Price:","Обычная цена:"
"Sign up for price alert","Подписаться на оповещения о цене"
"Sign up to get notified when this product is back in stock","Подпишитесь, чтобы получить уведомление, когда товар появится в наличии"
"Special price:","Цена со скидкой:"
"Start Time","Время начала"
"Stock Alert Email Template","Шаблон письма-оповещения о появлении товара в наличии"
"The alert subscription has been deleted.","Подписка на оповещение удалена."
"The alert subscription has been saved.","Подписка на оповещение сохранена."
"The product is not found.","Товар не найден."
"The product was not found.","Товар не найден."
"Unable to update the alert subscription.","Невозможно обновить подписку на оповещения."
"Unsubscribe from all price alerts","Отказаться от всех ценовых оповещений"
"Unsubscribe from all stock alerts","Отказаться от всех оповещений о появлении в наличии"
"You are receiving this notification because you subscribed to receive alerts when the following products are back in stock:","Вы получили это сообщение, так как подписались на получение уведомлений при появлении в наличии следующих товаров:"
"You are receiving this notification because you subscribed to receive alerts when the prices for the following products changed:","Вы получили это сообщение, так как. подписались на получение уведомлений при изменении цен на следующие товары:"
"You will no longer receive price alerts for this product.","Вы больше не будете получать оповещения об изменении цены для этого товара."
"You will no longer receive stock alerts for this product.","Вы больше не будете получать оповещения о наличии для этого товара."
"You will no longer receive stock alerts.","Вы больше не будете получать оповещения о наличии."
