"1 star","1 звезда"
"2 stars","2 звезды"
"3 stars","3 звезды"
"4 stars","4 звезды"
"5 stars","5 звёзд"
"Add New Rating","добавить оценочный критерий..."
"Assigned Options","Присвоенные варианты"
"Be the first to review this product","написать отзыв"
"Default Value","название по умолчанию"
"Delete Rating","удалить оценочный критерий"
"Edit Rating","Настройка оценочного критерия"
"ID","№"
"If you do not specify a rating title for a store, the default value will be used.","Если Вы не укажите индивидуальное для магазина название оценочного критерия, то будет использовано общее стандартное значение."
"Manage Ratings","Оценочные критерии"
"New Rating","Новый оценочный критерий..."
"Option Label","Название варианта"
"Option Title","Заголовок варианта"
"Option Title:","Заголовок варианта:"
"Please select one of each ratings above","Укажите оценку для каждого оценочного критерия"
"Rating Information","Параметры"
"Rating Name","Название оценочного критерия"
"Rating Options","Опции оценочного критерия"
"Rating Title","Название оценочного критерия"
"Rating Visibility","Видимость оценочного критерия"
"Rating isn't Available","Оценочный критерий недоступен"
"Rating with the same title","Оценочный критерий с тем же названием"
"Save Rating","сохранить оценочный критерий"
"Sort Order","порядок"
"Visible In","витрины"
