"Abandoned Carts","Заброшенные корзины"
"Abandoned carts","Заброшенные корзины"
"Action","Действие"
"Add to Cart","в корзину"
"Add to Compare","сравнить"
"Add to Wishlist","запомнить"
"Any","Любое"
"Applied Coupon","Промокод"
"Applies to Any of the Specified Order Statuses",""
"Are you sure you want to refresh lifetime statistics? There can be performance impact during this operation.","Вы действительно хотите обновить статистику за весь период? Скорее всего это повлияет на производительность всей системы."
"Are you sure?","Уверены?"
"Avg. Approved Rating","Средняя утверждённая модероаторами оценка"
"Avg. Rating","Средняя оценка"
"Bestsellers","Лидеры продаж"
"Bought from wishlists","Куплено из запланированного"
"CSV","CSV"
"Carts","Корзины"
"Compared Products Grid Template","Сравниваемые товары. Шаблон в виде плитки"
"Compared Products List Template","Сравниваемые товары. Шаблон в виде списка"
"Coupons","Промокоды"
"Coupons Usage Report","Использованные промокоды"
"Created At","Создано"
"Current Month Starts","День, с которого будут начинаться расчёты для месячных отчётов"
"Customer","Покупатель"
"Customer Name","ФИО покупателя"
"Customer Tags","Пометки покупателя"
"Customers","Покупатели"
"Customers Report","Отчёт о покупателях"
"Customers Reviews","Группировка по покупателям"
"Customers Tags","Пометки, сгруппированные по покупателям"
"Customers by Number of Orders","Покупатели-лидеры по количеству заказов"
"Customers by Orders Total","Покупатели-лидеры по выручке"
"Customers by number of orders","Покупатели-лидеры по количеству заказов"
"Customers by orders total","Покупатели-лидеры по выручке"
"Customers that have wishlist: %s%","Покупатели с планами покупок: %s%"
"Dashboard","Сводка"
"Day","День"
"Default Recently Compared Products Count","Показываемое количество недавно добавленных в сравнение товаров"
"Default Recently Viewed Products Count","Показываемое количество недавно просмотренных товаров"
"Description","Описание"
"Detail","Детали"
"Downloads","Скачивания"
"Email","E-mail"
"Empty Rows","Пустые строки"
"Excel XML","Excel XML"
"Filter","Параметры отчёта"
"First Name","Имя"
"From","от"
"Guest","Гость"
"Hits","Посещения"
"ID","№"
"IP Address","IP адрес"
"Index model name must be defined","Требуется имя модели, отвечающей за обновление расчётной таблицы"
"Invalid date specified.","Указана неверная дата."
"Invoiced","Счета и платежи"
"Items in Cart","Позиций в корзине"
"Last Name","Фамилия"
"Last Review","Последний отзыв"
"Link","Адрес"
"List of Products Recently Compared and Removed from the Compare List by Visitor","Список товаров, которые недавно сравнивали, но были удалены из сравнения посетителем"
"List of Products Recently Viewed by Visitor","Список товаров, недавно просмотренных посетителем"
"Low Stock","Заканчивающиеся товары"
"Low stock","Заканчивающиеся товары"
"Match Period To","Считать датой заказа:"
"Month","Месяц"
"Most Viewed","Самые посещаемые"
"Name","Имя"
"New Accounts","Новые регистрации"
"No","нет"
"No records found for this period.","Нет записей за указанный период."
"Number Added","Количество добавленных"
"Number Fulfilled","Количество выполненных"
"Number Of Reviews","Количество отзывов"
"Number Purchased","Количество приобретений"
"Number Viewed","Количество просмотренных"
"Number of Items","Количество позиций"
"Number of New Accounts","Количество новых учётных записей"
"Number of Products to display","Количество отображаемых товаров"
"Number of Reviews","Количество отзывов"
"Number of Times Deleted","Количество удалений"
"Number of Total Tags","Общее количество меток"
"Number of Unique Tags","Количество уникальных меток"
"Number of Views","Просмотров"
"Number of items bought from a wishlist: %s","Количество товаров, купленных из плана покупок: %s"
"Number of times wishlists have been shared (emailed): %s","Сколько раз план покупок отправлялся по почте: %s"
"Number of wishlist conversions: %s","нерабочее поле «conversions_count»: %s"
"Number of wishlist referrals: %s","нерабочее поле «referrals_count»: %s"
"Number of wishlists: %s","Количество планов покупок: %s"
