"""%s"" coupon code is not valid.","Промокод: «%s» недействителен. Может, Вы неправильно его написали?"
"%s","%s"
"%s / %s rate:","%s / %s курс:"
"%s for %s","%s для %s"
"%s order(s) cannot be canceled","Заказов не может быть отменено: %s."
"%s order(s) have been canceled.","Заказов отменено: %s."
"%s order(s) have been put on hold.","Заказов заморожено: %s."
"%s order(s) have been released from holding status.","Заказов разморожено: %s."
"%s order(s) were not put on hold.","Количество заказов, не подлежащих заморозке: %s."
"%s order(s) were not released from holding status.","Количество заказов, не подлежащих разморозке: %s."
"* - Enter custom price excluding tax","* - Введите другую цену без учёта налога"
"* - Enter custom price including tax","* - Введите другую цену включая налог"
"-- Please Select --","-- выберите значение --"
"-- Please Select Billing Agreement--","-- Выберите соглашение с PayPal о безакцептном списании --"
"About This Order:",""
"About This Profile:","Об этом профиле:"
"About Your Invoice","О Вашем счёте"
"About Your Order","О Вашем заказе"
"About Your Refund","О Вашем возврате"
"About Your Shipment","О Вашей доставке"
"Accept Payment","Подтвердить платёж"
"Accept or Deny Payment","Подтвердить отказ в платеже"
"Account Information","Покупатель"
"Action","Действие"
"Actions","Действия"
"Activate","Активировать"
"Active","Активно"
"Add","Добавить"
"Add New Address","Добавить новый адрес"
"Add Order Comments","Добавить примечения к заказу"
"Add Products","Добавить товары"
"Add Selected Product(s) to Option","Добавить выбранные товары в вариант"
"Add Selected Product(s) to Order","Добавить выбранные товары в заказ"
"Add To Order","Добавить к заказу"
"Add Tracking Number","Добавить номер отслеживания"
"Add comment to order","Добавить комментарий к заказу"
"Add new comment to shipment","Добавит новый комментарий к отправлению"
"Add new tracking number","Добавить новый номер отслеживания"
"Add to Cart","в корзину"
"Address","Адрес"
"Address model is not defined.","Модель адреса не определена."
"Adjustment Fee","Корректировка оплаты"
"Adjustment Refund","Корректировка возврата"
"Agreement Information","Суть договора"
"Allow Reorder","Разрешить перезаказ?"
"Amount","Сумма"
"Amount: %s.","Сумма: %s."
"An error occurred while assigning order status. Status has not been assigned.","При привязке прикладного состояния заказа к системному произошёл сбой."
"An error occurred while saving order status. The status has not been added.","При сохранении прикладного состояния заказа произошёл сбой."
"An error occurred while unassigning order status.","При отмене привязки прикладного состояния заказа к системному произошёл сбой."
"An error occurred while updating the order address. The address has not been changed.","При обновлении прикладного состояния заказа произошёл сбой."
"An item option with code %s already exists.","Вариант позиции с кодом %s уже существует."
"Append Comments","Добавить комментарии"
"Apply","Применить"
"Apply Coupon Code","Использовать промокод"
"Approved the payment online.","Утверждённые платежи онлайн."
"Are you sure you want to accept this payment?","Вы действительно подтверждаете этот платёж?"
"Are you sure you want to cancel this order?","Вы действительно хотите отменить этот заказ?"
"Are you sure you want to deny this payment?","Вы действительно хотите отклонить этот платёж?"
"Are you sure you want to do this?","Подтверждаете операцию?"
