"'*' - matches any; 'xyz*' - matches any that begins on 'xyz' and not longer than %d.","Значение «*» означает «произвольный почтовый индекс», а значение «690» означает «почтовый индекс, начинающийся цифрами 690»."
"-- Please Select --","-- выберите значение --"
"Add New Class","Добавить класс"
"Add New Tax Rate","Добавить налоговую ставку"
"Add New Tax Rule","Добавить налоговое правило"
"After Discount","после вычета скидок"
"After Tax","с НДС"
"An error occurred while deleting this rate.","При удалении налоговой ставки произошёл сбой."
"An error occurred while deleting this rate. Incorrect rate ID.","При удалении налоговой ставки произошёл сбой. Система не смогла найти налоговую ставку с указанным номером."
"An error occurred while deleting this tax class.","При удалении налоговой группы произошёл сбой."
"An error occurred while deleting this tax rule.","При удалении налогового правила произошёл сбой."
"An error occurred while saving this rate.","При сохранении налоговой ставки произошёл сбой."
"An error occurred while saving this tax class.","При сохранении налоговой группы произошёл сбой."
"An error occurred while saving this tax class. A class with the same name already exists.","При сохранении системы налогообложения произошёл сбой: в системе уже присутствует одноимённая система налогообложения."
"An error occurred while saving this tax rule.","При сохранении налогового правила произошёл сбой."
"Apply Customer Tax","Налогооблагаемой базой является стоимость заказа до вычета скидок или после вычета скидок?"
"Apply Discount On Prices","Для расчёта размера скидки использовать стоимость заказа без НДС или с НДС?"
"Apply Tax On","Если администратор при редактировании заказа из административной части установил покупателю нестандартные цены на позиции заказа, то на основании каких цен расчитывать налогооблагаемую базу: цен заказа или цен каталога?"
"Apply discount on price including tax is calculated based on store tax, if ""Apply Tax after Discount"" is selected.",""
"Are you sure you want to do this?","Подтверждаете операцию?"
"Back","Вернуться"
"Before Discount","до вычета скидок"
"Before Tax","без НДС"
"Billing Address","страна плательщика"
"CSV","CSV"
"Calculate off subtotal only","Сделать налогооблагаемой базой только совокупную стоимость товаров (без учёта других налогов)?"
"Subtotal only","Независим"
"Calculation Settings","Параметры начисления"
"Catalog Prices","Заложен ли НДС в учётные цены товаров?"
"Class Name","Название группы"
"Click here to go to <a href=""%s"">Tax configuration</a> and change your settings.","<br/><a href=""%s"">открыть раздел настроек налогообложения</a>"
"Code","Код"
"Country","Страна"
"County","Округ"
"Custom price if available","на основании цен заказа"
"Customer Classes","Группы покупателей"
"Customer Tax Class","Налоговая группа покупателей"
"Customer Tax Class Information","Параметры налоговой группы покупателей"
"Customer Tax Classes","Налоговые группы покупателей"
"Default Country","Страна"
"Default Post Code","Почтовый индекс"
"Default State","Область"
"Default Tax Destination Calculation","Предположительная налоговая принадлежность покупателя"
"Delete Class","Удалить группу"
"Delete Rate","Удалить ставку"
"Delete Rule","Удалить правило"
"Display Excluding Tax","без НДС"
"Display Full Tax Summary","Показывать ли каждый налог отдельной строкой (помимо показа совокупного размера всех налогов)?"
"Display Including and Excluding Tax","и без НДС, и с НДС"
"Display Including Tax","с НДС"
"Display Prices","С НДС или без отображать стоимость отдельных позиций заказа?"
"Display Product Prices In Catalog","С НДС или без отображать цены на витрине?"
"Display Shipping Amount","С НДС или без отображать стоимость доставки?"
"Display Shipping Prices","С НДС или без отображать стоимость доставки?"
"Display Subtotal","С НДС или без отображать совокупную стоимость позиций заказа?"
"Display Zero Tax Subtotal","Выделять ли НДС при нулевой ставке и показывать ли пометку «без налога (НДС)» при неприменимости НДС?"
"Edit Class","Настройка налоговой группы"
"Edit Class '%s'","Налоговая группа: «%s»"
"Edit Rule","Правило начисления НДС"
"Edit Tax Rate","Изменение налоговой ставки"
"Enable Cross Border Trade","Подгонять ли стоимость товара без НДС под ставку НДС страны покупателя таким образом, чтобы цена товара с НДС не зависела от страны покупателя?"
"Excel XML","Excel XML"
"Excl. Tax","без налогов"
"Excl. Tax:","без налогов:"
"Excluding Tax","не заложен"
"Export Tax Rates","Экспорт налоговых ставок"
"Grand Total (Excl. Tax)","итого (без налогов)"
"Grand Total (Excl.Tax)","итого (без налогов)"
"Grand Total (Incl. Tax)","итого"
"Grand Total (Incl.Tax)","итого"
"Grand Total Excl. Tax","итого без налогов"
"Grand Total Incl. Tax","итого"
"Ignore this notification","скрыть это предупреждение"
"Import / Export Rates","Импорт и экспорт ставок"
"Import / Export Tax Rates","Импорт и экспорт налоговых ставок"
"Import Tax Rates","Импорт налоговых ставок"
"Inc. Tax","с налогами"
"Incl. Tax","с налогами"
"Incl. Tax:","с налогами:"
"Include Tax In Grand Total","С НДС или без отображать итоговую стоимость заказа?"
"Including Tax","заложен"
"Including and Excluding Tax","Включая и исключая налог"
"Including VAT","в том числе НДС"
"Invalid file format upload attempt","Попытка загрузки файла с неправильным форматом"
"Invalid file upload attempt","Попытка загрузить неправильный файл"
"Manage Customer Tax Classes","Перечень налоговых групп покупателей"
"Manage Product Tax Classes","Перечень налоговых групп товаров"
"Manage Tax Rates","Ставки"
"Manage Tax Rules","Правила"
"Manage Tax Zones & Rates","Ставки"
"Manage Tax Zones and Rates","Ставки"
"Name","Название"
"New Class","Новая группа"
"New Rule","Новое правило"
"New Tax Rate","Новая налоговая ставка"
"No","нет"
"None","нет"
"One of the country has invalid code.","У одной из стран неверный код."
"Orders, Invoices, Creditmemos Display Settings","Документы"
"Orders, Invoices, Credit Memos Display Settings","Документы"
"Original price only","на основании цен каталога"
"Please see <a href=""%s"">source</a> for more details.","<br/><a href=""%s"">длинная инструкция на сайте magentocommerce.com (на английском)</a>"
"Price Display Settings","Витрина"
"Priority","Порядок применения"
"Product Classes","Группы товаров"
"Product Tax Class","Налоговая группа товара"
"Product Tax Class Information","Параметры"
"Product Tax Classes","Налоговые группы товаров"
"Range From","Диапазон от"
"Range To","Диапазон до"
"Rate","Ставка"
"Rate Percent","Ставка (в процентах)"
"Reset","Сбросить"
"Row Total","НДС начисляется на каждую строку заказа, а потом суммируется"
"Sales","Продажи"
"Save Class","Сохранить группу"
"Save Rate","Сохранить ставку"
"Save Rule","Сохранить правило"
"Save and Continue Edit","сохранить и остаться"
"Shipping & Handling (Excl.Tax)","Доставка и обработка (без налогов)"
"Shipping & Handling (Incl.Tax)","Доставка и обработка (с налогами)"
"Shipping (Excl. Tax)","Доставка (без налогов)"
"Shipping (Incl. Tax)","Доставка (с налогами)"
"Shipping Address","страна доставки"
"Shipping Excl. Tax (%s)","Доставка, без налога (%s)"
"Shipping Incl. Tax (%s)","Доставка, включая налог (%s)"
"Shipping Origin","страна интернет-магазина"
"Shipping Prices","Заложен ли НДС в стоимость доставки?"
"Shopping Cart Display Settings","Корзина и оформление заказа"
"Sort Order","Порядок показа в чеке"
"State","Область"
"State/Region","Область"
