"All Websites","Все сайты"
"Apply Discounts To FPT","Распространяются ли скидки на сумму сбора?"
"Apply Tax To FPT","Включать ли наценку в налогооблагаемую базу?"
"Display Prices In Emails","Как отображать цену товара со сбором в почтовых уведомлениях?"
"Display Prices In Product Lists","Как отображать цену товара со сбором в списке товаров?"
"Display Prices In Sales Modules","Как отображать цену товара со сбором в документах?"
"Display Prices On Product View Page","Как отображать цену товара со сбором на странице товара?"
"Enable FPT","Включить фиксированные сборы?"
"Excluding FPT","показывать только цену без сбора"
"Excluding FPT, FPT description, final price","показывать цену без сбора, размер сбора и цену со сбором"
"Fixed Product Tax","Фиксированный сбор"
"Fixed Product Taxes","Фиксированные сборы"
"FPT Tax Configuration","Входит ли фиксированный сбор в налоговую базу НДС?"
"Include FPT In Subtotal","Выделять ли сбор отдельной строкой в счёте и документах?"
"Including FPT and FPT description","показывать конечную цену и рядом, в скобках — размер сбора"
"Including FPT only","показывать только конечную цену (включающую сбор)"
"Loaded and Displayed with Tax","входит, и указанные администратором размеры сборов уже содержат НДС"
"Not Taxed","не входит"
"Taxed","входит, и указанные администратором размеры сборов не содержат НДС"
"Total","Всего"
"Total Incl. Tax","Всего, включая наценку"
"Total incl. tax","Всего, включая наценку"
