"1 Domains","1 домен"
"2 Domains","2 домена"
"5 Domains","5 доменов"
"10 Domains","10 доменов"
"1 Domains","1 домен"
"1 Domains","1 домен"
"Action","Действие"
"Active Date","Дата активации"
"Approved","одобрено"
"Are you sure?","Удалить"
"Attached Files","Файлы"
"Canceled","отклонено"
"Commercial License","коммерческая лицензия"
"Coupon","Купон"
"Delete","Удалить"
"Developer","лицензия разработчика"
"development","лицензия разработчика"
"Development License","лицензия разработчика"
"Disable","отключить"
"Domain","Домен"
"Edit","Редактировать"
"Edit Feedback for '%s'","Редактировать обращение «%s»"
"Enable","включить"
"Expired Date","Дата истечения"
"Expired License","Лицензия истекла"
"Extension","Модуль"
"extension key management section","управление кодами активации модулей"
"Feedback","Обращение"
"Feedback Code","Код"
"Feedback Detail","Подробности"
"Feedbacks Manager","Обращения"
"for upgrade to","за обновление до"
"From","От"
"From Admin","От админнистратора"
"ID","№"
"Invalid License Key","Указанный код лицензии недопустим"
"Is Sent","Отослано?"
"License Info","Информация о лицензии"
"License key does not match","Указанный код лицензии недопустим"
"Message","Сообщение"
"Not Sent","Не отослано"
"on",""
"Pending","В ожидании"
"Please go to %s for more information.","Для получения дополнительной информации перейдите в %s"
"Post Feedback","Добавить обращение"
"Post Message","Текст"
"Posted","Время публикации"
"Resend","Повторить"
"Save","Сохранить"
"Save And Continue Edit","Сохранить и остаться"
"Sent","Отослано"
"Sent to Magegiant.com","Отправлено в Magegiant.com"
"Status","Состояние"
"System","Система"
"trial","пробная лицензия"
"Trial License","пробная лицензия"
"You are using a %s version of %s extension. It will be expired on %s.","Вы используете версию «%s» модуля «%s»."
"Unlimited Domain","неограниченное количество доменов"
"Upgrade Now","Обновить"
"version","версия"
"View Posted Message","Показать сообщение"
