"%s item(s) was(were) imported.","Импортировано объектов: %s."
"Alway compile","компилировать всегда"
"Asc","по возрастанию"
"Blue","голубой"
"bounceIn","скачок влево"
"bounceInRight","скачок вправо"
"Boxed","с ограничением по ширине"
"Brown","коричневый"
"Chocolate","шоколадный"
"Collapse","сжать в гармошку"
"Desc","по убыванию"
"Full width","во всю ширину страницы"
"Green","зелёный"
"Include jQuery","Добавить на страницу библиотеку jQuery?"
"Include Jquery UI","Добавить на страницу библиотеку jQuery UI?"
"Items (%s) with the following identifiers were overwritten:<br />%s","Обновлены объекты (%s) со следующими идентификаторами:<br />%s"
"SideBar","сместить вбок"
"New Window","в новом окне"
"No items were imported","Не импортировано ни одного объекта"
"No select","не указано"
"Only compile when don\'t have the css file","Компилировать только при отсутствии файла CSS"
"pageTop","вверх"
"pageBottom","вниз"
"pageLeft","влево"
"pageRight","вправо"
"pattern0 - none image","без картинки"
"pattern1","узор №1"
"pattern2","узор №2"
"pattern3","узор №3"
"pattern4","узор №4"
"pattern5","узор №5"
"pattern6","узор №6"
"Popup Window","во всплывающем окне"
"Post-text","Текст выше блока"
"Pre-text","Текст ниже блока"
"Purple","пурпурный"
"Red","красный"
"Same Window","в том же окне"
"Slateblue","грифельно-синий"
"slideBottom","скольжение вниз"
"slideLeft","скольжение влево"
"slideRight","скольжение вправо"
"SNSTheme.Com","SNS"
"starwars","звёздные войны"
"Unable to import items (%s) with the following identifiers (they already exist in the database):<br />%s","Объекты со следующими идентификаторами не были импортированы, потому что они уже присутстствуют в базе данных:<br />%s"
"Yellow","жёлтый"
"zoomIn","наезд вперёд"
"zoomOut","отъезд назад"
