"Advanced settings","Настройки повышенной сложности"
"Ajax Configuration","AJAX"
"Enable Ajax for layered navigation?","Включить AJAX для пошаговой фильтрации?"
"Enable Ajax only for Price Slider?","Включить AJAX для ползунка цен?"
"Enable Ajax for product Toolbar?","Включить AJAX для панели списка товаров?"
"Enable Module","Включить?"
"General","Основное"
"Name for your GO button .","Надпись на кнопке «применить»"
"Price Slider","Ползунок цен"
"Results Loading Text","Тест сообщения о загрузке"
"Set it to Yes for applying Ajax on entire toolbar , No will remove Ajax",""
"Set it to Yes for applying Ajax on layered navigation, No will remove Ajax",""
"Set it to Yes for applying textbox for amount, No will use the labels for amount","при значении «нет» система покажет предопределённые значения шкалы цен"
"Set this to Yes if you have not included jQuery UI in the website.",""
"SNS Ajax Filter","SNS Фильтр"
"Text to display when the results are loading via Ajax",""
"This applies to the Go button for amount. By Default nameis ""Go""",""
"Use textbox for amount?","Показывать поле ввода количества?"
"Use this to enable / disable Module.",""
