"Asc","по возрастанию"
"Block Title","Заголовок блока"
"Catalog","указать разделы"
"Date Created","Дата создания"
"Desc","по убыванию"
"Description","Описание"
"Display","Показывать?"
"Display Add to Cart or Status","Показывать кнопку добавления в корзину?"
"Display Add to Compare","Показывать ссылку для добавления в сравнение?"
"Display Add to Wishlist","Показывать ссылку для добавления в план покупок?"
"Display Options","Отображение"
"Display Prices","Показывать цены?"
"Display Rating Summary","Показывать рейтинг?"
"Filter Options","Фильтр"
"General Options","Основное"
"IDs of Products","Номера товаров"
"If you are using 'Strip html tags'='Yes'. Please enter tagname if you want keep it. Eg: '&lt;p>&lt;a>' for keep p and a","например: &lt;p>&lt;a>"
"Image Height","Высота картинки"
"Image Width","Ширина картинки"
"Keep Tags","Теги, которые удалять не нужно"
"Maximum Description Length","Максимальная длина описания"
"Maximum Title Length","Максимальная длина названия"
"Most Selling","Самые продаваемые"
"Most Viewed","Самые просматриваемые"
"Name","Название"
"New Window","в новом окне"
"Number of Columns","Количество колонок в товарной сетке"
"Number of columns in Grid mode. If this value &lt; 2, list mode is activated.","Товары будут отображены сеткой, если Вы укажете значение 2 или больше"
"Others","Остальное"
"Popup Window","во всплывающем окне"
"Position","Заданный администратором порядок"
"Price","Цена"
"Product","указать товары"
"Product Description","Описание товара"
"Product image","Картинка товара"
"Product Limitation","Ограничение товаров"
"Product Order by","Порядок товаров"
"Product Order Dir","Направление упорядочивания"
"Product Source","Тип фильтра"
"Product Title","Название товара"
"Random","Случайно"
"Same Window","в том же окне"
"Select Category","Товарный раздел"
"Short Description","Краткое описание"
"Separator by comma (,). Eg: 1,2,3,4...","через запятую, например: 1,2,3,4"
"SNS Product List","SNS Список товаров"
"Source","Источник"
"Strip Tags","Удалять теги HTML?"
"Theme 01","вариант оформления №1"
"Theme 02","вариант оформления №2"
"Theme 03","вариант оформления №3"
"Theme 04","вариант оформления №4"
"Top Rating","По рейтингу"
"Top Rating","С наибольшим количеством отзывов"
