"All ready","все товары загружены"
"Best Sales","Самые продаваемые"
"Category","Последовательно по разделам"
"Date Created","По дате добавления"
"Enabled","Включить?"
"Effects","Спецэффекты"
"Filter Options","Фильтр"
"General settings","Основное"
"List Products By","Способ перечисления товаров"
"Loading ...","загрузка..."
"Most Reviews","По количеству отзывов"
"Most Selling","По количеству продаж"
"Most Visited","По повещаемости"
"Name","По названию"
"New Products","По новизне"
"Order By","В соответствии с заданным порядком"
"Position","Заданный администратором порядок"
"Price","По цене"
"Random","Случайным образом"
"There are no products matching the selection.","ничего не найдено :-("
"Top Rating","По рейтингу"
"Select effects for product list","для загрузки списка товаров"
"Show number on button Load More","Показывать номер на кнопке «ещё...»"
"SNS Product Tabs","SNS Ленивая загрузка"
"Title","Название"
"View more item","ещё товары..."
