"Advanced settings","Настройки повышенной сложности"
"Auto play","Чередовать слайды автоматически?"
"Bottom","Внизу"
"Bullet","круглешок"
"Delay","Длительность показа слайда"
"General settings","Основное"
"It's Identifier of Static Blocks(ex: slide_html1, slide_html2, slide_html3)","Например: slide_html1"
"List slides html","Идентификатор самодельного блока"
"Navigation Arrows","Стрелки вперёд/назад"
"Navigation Style","Спецеффекты при перелистывании"
"Navigation Type","Способ листания"
"none","нет"
"None","Нет"
"Slideshow settings","Слайд-шоу"
"SNS Revolution Slider","SNS Карусель"
"Thumb","квадратик"
"Timer bar on","Показывать таймер?"
"Title","Заголовок"
"Top","Верху"
