"Advanced settings","Настройки повышенной сложности"
"Auto","Прокручивать автоматически?"
"Auto number visible","Показывать порядковый номер слайда?"
"Block Title","Заголовок блока"
"Catalog","указать разделы"
"Date Created","По дате добавления"
"Description","Описание"
"Display","Показывать"
"Display Add to Cart or Status","Показывать ли кнопку добавления товара в корзину?"
"Display Add to Compare","Показывать ли ссылку для добавления товара в сравнение?"
"Display Add to Wishlist","Показывать ли ссылку для добавления товара в план покупок?"
"Display Options","Элементы отображения"
"Display Prices","Показывать цены"
"Display Rating Summary","Показывать рейтинг"
"Duration","Длительность показа слайда"
"Effect Slider","Спецэффекты"
"Effects for item slider","Спецэффекты"
"Filter Options","Фильтр"
"General Options","Основное"
"IDs of Products","Идентификаторы товаров"
"If you are using 'Strip html tags'='Yes'. Please enter tagname if you want keep it. Eg: '&lt;p>&lt;a>' for keep p and a","например: &lt;p>&lt;a>"
"Image Height","Высота картинки"
"Image Width","Ширина картинки"
"Items for scroll","Сколько товаров прокручивать за один шаг прокрутки?"
"For case Loader is No",""
"Keep Tags","Какие теги не надо удалять?"
"Maximum Description Length","Максимальная длина описания"
"Maximum Title Length","Максимальная длина названия"
"Most Reviews","По количеству отзывов"
"Most Selling","По количеству продаж"
"Most Visited","По повещаемости"
"Name","По названию"
"Navigation","Ссылки для перелистывания слайдов"
"Number products per row","Количество товаров в одном ряду"
"Others","Другое"
"Price","По цене"
"Product","указать товары"
"Product Description","Описание товара"
"Product image","Показывать картинку товара?"
"Product Limitation","Ограничение товаров"
"Product Order by","Порядок товаров"
"Product Order Dir","Направление упорядочивания"
"Product Source","Тип фильтра"
"Product Title","Название товара"
"Product visible","Показыват товар?"
"Random","Случайным образом"
"Screen width >= 1600px","когда ширина экрана >= 1600 пикселей"
"Select Category","указать раздел"
"Select effects for product list",""
"Separator by comma (,). Eg: 1,2,3,4...","через запятую, например: 1,2,3,4"
"Short Description","Краткое описание"
"SNS Slider","SNS Слайдер"
"Source","Источник"
"Strip Tags","Удалять теги?"
"Top Rating","По рейтингу"
"With normal devices","Текст для обычных экранов"
"With mobile landscape devices","Текст для смартфонов в ландшафтном режиме"
"With mobile portrait devices","Текст для смартфонов в портретном режиме"
"With tablet landscape devices","Текст для планшетов в ландшафтном режиме"
"With tablet portrait devices","Текст для планшетов в портретном режиме"
"With wide devices","Текст для широкоформатных экранов"
