"Account Name","Идентификатор пользователя в Твиттере"
"Advanced settings","Настройки повышенной сложности"
"Enabled","Включить?"
"General settings","Основное"
"Module settings","Параметры отображения"
"Title","Заголовок"
"Show avartar","Показывать аватар?"
"Show date","Показывать даты твитов?"
"Show follow link","Показывать ли ссылку «follow»?"
"Show interact link","Показывать ли ссылку для обратной связи?"
"SNS Twitter","SNS Твиттер"
"Tweets Count","количество твитов"
"Widgets Id","Идентификатор виджета"
