"Applies to: Listing Grid, Listing List, Relates Product, Upsell Product, Crosssell Product","Используется для товарного списка, товарной сетки, похожих товаров, апселла, кроссселла"
"Apply for boxed layout","Не используется в широкоформатном режиме страницы"
"Body background color","Цвет фона"
"Body background image","Фоновая картинка"
"Body font-family","Основной шрифт"
"Body font-size","Основной размер шрифта"
"Custom menu items","Дополнительные пункты меню"
"Default CMS Home Page","Главная страница витрины"
"Display button Add to cart","Показывать ли кнопку для добавления товара в корзину?"
"isplay button Add to compare","Показывать ли ссылку для добавления товара к сравнению?"
"Display button Add to wishlist","Показывать ли сслыку для добвления товара в план покупок?"
"For Product","Для товара"
"General settings","Основные настройки"
"Google Font","Шрифты Google"
"Google font targets","Селекторы CSS, для которых будут успользоваться шрифты Google"
"Home Page of this theme: Xsport Home Page","стандартная клавная страница: «Xsport. Главная страница»"
"Input body font-family ( Ex: Arial )","например: Arial"
"Input google font name","название шрифта"
"Layout Type","Формат страницы"
"Listing page","Список товаров"
"Logo Image Src","Логотип"
"Logo of this theme: images/logo.png","стандартный логотип данной темы: images/logo.png"
"Magento Quick Settings","Быстрая базовая настройка Magento"
"Menu","Меню"
"Responsive menu","Поведение меню в адаптивном режиме (для мобильных устройств)"
"Responsive menu for mobile(maybe for Tablet portrait)",""
"Select google font","Укажите шрифт Google"
"Seleect Yes top keep menu on top when you scroll",""
"SNS Xsport - config","Настройки темы SNS Xsport"
"Tags will be applied with Google font with separate "","" ( Ex: ""h1, .classname"" )",""
"Theme's version","Версия темы"
"Use sticky menu","Сделать меню видимым всегда даже при прокрутке страницы вниз?"
"Use Tag New","Использовать ярлык «новинка»?"
"Use Tag New for product",""
"Use Tag Sale","Использовать ярлык «распродажа»?"
"Use Tag Sale for product",""
