"* Required Fields","* обязательные поля"
"Blog Categories","Рубрики"
"By","Автор"
"click here","авторизоваться"
"Comment","Текст комментария"
"Comment(s)","Комментариев"
"Comments are Closed for this post","Комментарии отключены"
"Name","Ваше имя"
"No Posts in this Category.","В этой рубрике пока нет новостей."
"Post Comments","Комментарии"
"Read more >","читать далее >"
"Recent Posts","Свежие записи"
"Share this post","Поделиться"
"Submit Comment","Опубликовать комментарий"
"Tag Cloud","Метки"
"to log in",""
"You must be logged in to post a comment.","Для возможности комментирования, пожалуйста, авторизуйтесь."
