"Static Block Id","Идентификатор (символьный) самодельного блока"
"Column 1","Колонка 1. Содержимое"
"Column 1 Size","Колонка 1. Ширина"
"Column 2","Колонка 2. Содержимое"
"Column 2 Size","Колонка 2. Ширина"
"Column 3","Колонка 3. Содержимое"
"Column 3 Size","Колонка 3. Ширина"
"Column 4","Колонка 4. Содержимое"
"Column 4 Size","Колонка 4. Ширина"
"Copyrights Text","Информация о правообладателе"
"Custom Block","самодельный блок"
"Do not show","отсутствует"
"Facebook Widget","виджет Facebook"
"Flickr Stream","фотографии с Flickr"
"Footer","Подвал"
"Footer - Bottom","Нижняя полоса"
"Logo Image Src for Footer","Относительный файловый путь к логотипу"
"Newsletter Block Text","Блок подписки на новостную рассылку. Подзаголовок"
"Newsletter Block Title","Блок подписки на новостную рассылку. Заголовок"
"Newsletter Subscribe","подписка на новостную рассылку"
"Porto - Design Panel","Цвета и шрифты"
"Porto - Settings Panel","Блоки"
"Show Category Description below the Header","Размещать ли описание товарного раздела сразу под верхним меню, над боковой и центральной колонками?"
"Show Footer Bottom","Показывать?"
"Show Social Icons","Показывать ли логотипы социальных сетей?"
