"All Categories","Все разделы"
"Configuration","Настройки"
"Limit Results","Количество товаров"
"No products exists","ничего не найдено :-("
"Price","Цена"
"Search entire store here...","поиск по магазину"
"Show Price","Показывать цены?"
"Show Product Image","Показывать товарные изображения?"
"Thumbnail Height","Высота товарных изображений (в пикселях)"
"Thumbnail Width","Ширина товарных изображений (в пикселях)"
"Trending keyword","У нас ищут"
"VenusTheme","Тема"
"Ves Auto Search","Поиск"
"View all %s items","Все товары (%s)"
