"Complete","Завершено"
"Complete (danger)","Завершено со сбоями"
"Complete (success)","Завершено успешно"
"Configuration","Настройки"
"Image","Картинка"
"Large Image","Большая картинка"
"Newsletter","Рассылка"
"Pin It","Отметить"
"Sign Up for Our Newsletter:","Хотите быть в курсе выгодных предложений нашего магазина? Подпишитесь на новости!"
"Sign up for our newsletter","адрес электронной почты"
"Shopping Cart","Корзина"
"Subscribe","Подписаться"
"toggle","показать/скрыть"
"Ves Base","Общее"
"View all","смотреть все"
