"E-mail address","Почтовый адрес (Email)"
"Email address is required!","Укажите почтовый адрес (Email)"
"Email or Password is wrong!","Неверно указано либо почтовый адрес, либо пароль"
"Enter a valid password!","Указанный пароль недопустим"
"First Name","Имя"
"First name is not valid!","Указанное имя недопустимо"
"First name is required!","Укажите Ваше имя"
"Forgot Password","Забыли пароль"
"Forgot password","Забыли пароль"
"I accept the","Я принимаю"
"Last Name","Фамилия"
"Last name is not valid!","Указанная фамилия недопустима"
"Last name is required!","Укажите Вашу фамилию"
"Login","Войти"
"Login Datas",""
"Login Form","Вход"
"or login","я уже регистрировался"
"or registration","у меня нет пароля, я тут впервые"
"Or registration","у меня нет пароля, я тут впервые"
"Password","Пароль"
"Password confirmation","Пароль повторно"
"Password is required!","Укажите пароль"
"Passwords are not same!","Повторно введённый пароль не совпадает с ранее указанным"
"Please enter 6 or more characters!","Пароль должен состоять не менее чем из 6 символов"
"Please enter 16 or less characters!","Пароль должен состоять не более чем из 16 символов"
"Profile Informations",""
"Register","Зарегистрироваться"
"Registration","Регистрация"
"Subscribe to Newsletter","сообщать мне о выгодных предложениях"
"Terms and Coditions","правила продажи"
"Terms and Conditions are required!","Подтвердите Ваше согласие с правилами продажи"
"This email is already registered!","Указанный почтовый адрес уже был зарегистрирован ранее"
"This is not an email address!","Похоже, что Вы неверное указали почтовый адрес"
